Region Metadata for: shape_0.txt
================================================================================

REGION DEFINITION: Circle union (one circle per point)
  Each point gets a circle with radius = average distance to neighbors

Total vertices: 204
Number of regions: 10
Points per region:
  Region 0: 20 points
  Region 1: 20 points
  Region 2: 20 points
  Region 3: 20 points
  Region 4: 20 points
  Region 5: 20 points
  Region 6: 20 points
  Region 7: 20 points
  Region 8: 20 points
  Region 9: 24 points

REGION SUMMARY:
Region_Index,Num_Points,BBox_Min_X,BBox_Max_X,BBox_Min_Y,BBox_Max_Y,Normal_X,Normal_Y,Tangent_X,Tangent_Y,Fitted_Circle_X,Fitted_Circle_Y,Fitted_Circle_Radius,Local_AoA_Rad,Union_Area,Collection_Area
0,20,-1.0899327291e-01,-6.2651074647e-02,-1.1291720186e-01,-7.3404194973e-02,-0.6399274894,-0.7684352987,-0.7684352987,0.6399274894,-2.6030982681e-02,-2.0020902447e-02,9.8197692496e-02,-8.76392426e-01,3.19933216e-04,1.62896400e-04
1,20,-6.5769479846e-02,1.2184244154e-03,-1.1730326426e-01,-9.9092239992e-02,0.1271157177,-0.9918878940,-0.9918878940,-0.1271157177,-4.5970225631e-02,-3.1134337756e-02,8.2929090090e-02,-1.69825689e+00,4.50413374e-04,2.28446790e-04
2,20,-3.4512681586e-03,8.4952045545e-02,-1.0640890650e-01,-5.9353204465e-02,0.4325674196,-0.9016015902,-0.9016015902,-0.4325674196,-1.5763782937e-01,3.3139460391e-01,4.6146198141e-01,-2.01813479e+00,8.47883379e-04,4.25971711e-04
3,20,7.9822046250e-02,1.3644440755e-01,-6.5897960536e-02,-1.0443753059e-02,0.6984652692,-0.7156439532,-0.7156439532,-0.6984652692,2.7853092866e-02,4.8330141922e-02,1.2288478457e-01,-2.34404703e+00,5.40121325e-04,2.73652763e-04
4,20,1.3062119039e-01,1.5173403585e-01,-1.4340526206e-02,7.2916863514e-02,0.9873163698,-0.1587651914,-0.1587651914,-0.9873163698,-5.1244455116e-02,6.0267710396e-02,1.9868077542e-01,-2.98215280e+00,7.11462901e-04,3.60256021e-04
5,20,9.7224252667e-02,1.5055968012e-01,6.9020978790e-02,1.1281552821e-01,0.6187858082,0.7855597518,0.7855597518,-0.6187858082,1.1179716812e-01,7.2719101483e-02,3.5071387674e-02,2.23799245e+00,4.98665487e-04,2.56190655e-04
6,20,-1.1095348633e-02,1.0187999012e-01,9.6666041401e-02,1.1492962066e-01,-0.0605796498,0.9981633664,0.9981633664,0.0605796498,7.2145963315e-02,-3.0666333203e-01,4.1627558926e-01,1.51017956e+00,1.15863635e-03,5.83642924e-04
7,20,-1.1405732807e-01,-5.2004235557e-03,6.6302649572e-02,1.0724072886e-01,-0.2954541354,0.9553569248,0.9553569248,0.2954541354,5.7000430884e-02,-2.9684905683e-01,4.0391567305e-01,1.27086549e+00,1.16458016e-03,5.86746474e-04
8,20,-1.4849821675e-01,-1.0889203340e-01,1.4018687143e-02,7.3550670435e-02,-0.8589613675,0.5120403979,0.5120403979,0.8589613675,-1.0674518947e-01,2.9524005707e-02,3.8700649600e-02,5.37558538e-01,5.12913917e-04,2.63322973e-04
9,24,-1.4723563876e-01,-1.0476723324e-01,-7.6458304911e-02,1.7982158014e-02,-0.9267570856,-0.3756611562,-0.3756611562,0.9267570856,1.8987208410e-01,1.0048947125e-01,3.4454873064e-01,-3.85110080e-01,7.90532084e-04,3.98057514e-04

DETAILED CIRCLE DATA:

Region 0 (20 circles):
Circle_Index,Center_X,Center_Y,Radius
0,-1.0640840749e-01,-7.5989060386e-02,2.5848654133e-03
1,-1.0528859905e-01,-7.7870538000e-02,2.2519837040e-03
2,-1.0399805126e-01,-7.9791794363e-02,2.3735326007e-03
3,-1.0254670884e-01,-8.1744013100e-02,2.4876326589e-03
4,-1.0094451650e-01,-8.3718377836e-02,2.5931975368e-03
5,-9.9201418947e-02,-8.5706072195e-02,2.6894353564e-03
6,-9.7327360889e-02,-8.7698279801e-02,2.7757672196e-03
7,-9.5332287037e-02,-8.9686184279e-02,2.8517716541e-03
8,-9.3226142102e-02,-9.1660969253e-02,2.9171465980e-03
9,-9.1018870791e-02,-9.3613818348e-02,2.9716833901e-03
10,-8.8720417816e-02,-9.5535915187e-02,3.0152491480e-03
11,-8.6340727885e-02,-9.7418443396e-02,3.0477751832e-03
12,-8.3889745709e-02,-9.9252586599e-02,3.0692499478e-03
13,-8.1377415997e-02,-1.0102952842e-01,3.0797155799e-03
14,-7.8813683459e-02,-1.0274045248e-01,3.0792675296e-03
15,-7.6208492804e-02,-1.0437654241e-01,3.0680570550e-03
16,-7.3571788742e-02,-1.0592898184e-01,3.0462966487e-03
17,-7.0913515982e-02,-1.0738895438e-01,3.0142686960e-03
18,-6.8243619235e-02,-1.0874764365e-01,2.9723379332e-03
19,-6.5572043210e-02,-1.0999623330e-01,2.9209685626e-03

Region 1 (20 circles):
Circle_Index,Center_X,Center_Y,Radius
0,-6.2908732616e-02,-1.1112590693e-01,2.8607472297e-03
1,-6.0263632164e-02,-1.1212784818e-01,2.7924134583e-03
2,-5.7646686562e-02,-1.1299324066e-01,2.7168995687e-03
3,-5.5067840521e-02,-1.1371326800e-01,2.6353824574e-03
4,-5.2537038750e-02,-1.1427911384e-01,2.5493496865e-03
5,-5.0064225958e-02,-1.1468196178e-01,2.4606816128e-03
6,-4.7659346856e-02,-1.1491299546e-01,2.3717488381e-03
7,-4.5332346153e-02,-1.1496339850e-01,2.2855184922e-03
8,-4.3093168559e-02,-1.1482435453e-01,2.2056516106e-03
9,-4.0951758783e-02,-1.1448704716e-01,2.8162171061e-03
10,-3.7567879914e-02,-1.1374343051e-01,3.5251956677e-03
11,-3.4079256243e-02,-1.1291442483e-01,3.6434980052e-03
12,-3.0492207722e-02,-1.1200219795e-01,3.7560510498e-03
13,-2.6813054306e-02,-1.1100891768e-01,3.8627512138e-03
14,-2.3048115947e-02,-1.0993675185e-01,3.9635142841e-03
15,-1.9203712601e-02,-1.0878786827e-01,4.0582716416e-03
16,-1.5286164219e-02,-1.0756443475e-01,4.1469673709e-03
17,-1.1301790756e-02,-1.0626861913e-01,4.2295560332e-03
18,-7.2569121658e-03,-1.0490258921e-01,4.3060009413e-03
19,-3.1578484012e-03,-1.0346851281e-01,4.3762728165e-03

Region 2 (20 circles):
Circle_Index,Center_X,Center_Y,Radius
0,9.8908058393e-04,-1.0196855775e-01,4.4403487425e-03
1,5.1775548359e-03,-1.0040489186e-01,4.4982113512e-03
2,9.4012544013e-03,-9.8779682945e-02,4.5498481937e-03
3,1.3653859326e-02,-9.7095098827e-02,4.5952512613e-03
4,1.7929049658e-02,-9.5353307324e-02,4.6344166290e-03
5,2.2220505441e-02,-9.3556476256e-02,4.6673442046e-03
6,2.6521906724e-02,-9.1706773439e-02,4.6940375663e-03
7,3.0826933552e-02,-8.9806366692e-02,4.7145038822e-03
8,3.5129265972e-02,-8.7857423835e-02,4.7287539028e-03
9,3.9422584031e-02,-8.5862112684e-02,4.7368020254e-03
10,4.3700567773e-02,-8.3822601058e-02,4.7386664272e-03
11,4.7956897247e-02,-8.1741056776e-02,4.7343692718e-03
12,5.2185252499e-02,-7.9619647656e-02,4.7239369909e-03
13,5.6379313574e-02,-7.7460541516e-02,4.7074006495e-03
14,6.0532760519e-02,-7.5265906174e-02,4.6847964041e-03
15,6.4639273382e-02,-7.3037909450e-02,4.6561660659e-03
16,6.8692532207e-02,-7.0778719160e-02,4.6215577876e-03
17,7.2686217042e-02,-6.8490503124e-02,4.5810268931e-03
18,7.6614007933e-02,-6.6175429159e-02,4.5346368789e-03
19,8.0469584926e-02,-6.3835665084e-02,4.4824606191e-03

Region 3 (20 circles):
Circle_Index,Center_X,Center_Y,Radius
0,8.4246628068e-02,-6.1473378718e-02,4.4245818184e-03
1,8.7938817405e-02,-5.9090737878e-02,4.3610967646e-03
2,9.1539832984e-02,-5.6689910383e-02,4.2921164480e-03
3,9.5043354851e-02,-5.4273064051e-02,4.2177691321e-03
4,9.8443063052e-02,-5.1842366700e-02,4.1382034797e-03
5,1.0173263763e-01,-4.9399986149e-02,4.0535923690e-03
6,1.0490575864e-01,-4.6948090217e-02,3.9641375658e-03
7,1.0795610613e-01,-4.4488846721e-02,3.8700754628e-03
8,1.1087736013e-01,-4.2024423479e-02,3.7716841510e-03
9,1.1366320070e-01,-3.9556988310e-02,3.6692921514e-03
10,1.1630730788e-01,-3.7088709033e-02,3.5632892120e-03
11,1.1880336172e-01,-3.4621753465e-02,3.4541396630e-03
12,1.2114504227e-01,-3.2158289425e-02,3.3423989040e-03
13,1.2332602957e-01,-2.9700484731e-02,3.2287336677e-03
14,1.2534000367e-01,-2.7250507202e-02,2.9150906778e-03
