Region Metadata for: shape_1.txt
================================================================================

REGION DEFINITION: Circle union (one circle per point)
  Each point gets a circle with radius = average distance to neighbors

Total vertices: 253
Number of regions: 10
Points per region:
  Region 0: 25 points
  Region 1: 25 points
  Region 2: 25 points
  Region 3: 25 points
  Region 4: 25 points
  Region 5: 25 points
  Region 6: 25 points
  Region 7: 25 points
  Region 8: 25 points
  Region 9: 28 points

REGION SUMMARY:
Region_Index,Num_Points,BBox_Min_X,BBox_Max_X,BBox_Min_Y,BBox_Max_Y,Normal_X,Normal_Y,Tangent_X,Tangent_Y,Fitted_Circle_X,Fitted_Circle_Y,Fitted_Circle_Radius,Local_AoA_Rad,Union_Area,Collection_Area
0,25,-1.3538473012e-01,-8.7359687903e-02,-7.3825807347e-02,-5.6981717955e-02,0.1643867325,-0.9863959662,-0.9863959662,-0.1643867325,-1.3143178191e-01,4.3292319683e-03,7.5263696803e-02,-1.73593258e+00,2.56659882e-04,1.29934874e-04
1,25,-9.0648928661e-02,-3.6841134354e-02,-6.2182218024e-02,-5.0081875563e-02,0.0092522183,-0.9999571973,-0.9999571973,-0.0092522183,-6.1688227701e-02,-9.8327145874e-02,-4.6007717509e-02,-1.58004868e+00,2.41477275e-04,1.19040588e-04
2,25,-3.9020693575e-02,7.8462504926e-03,-7.9414419832e-02,-5.7556925701e-02,-0.3777509683,-0.9259072340,-0.9259072340,0.3777509683,2.6177969917e-02,3.4082696715e-02,1.1263127653e-01,-1.18343024e+00,1.89406345e-04,9.48342948e-05
3,25,5.0292927339e-03,8.1671276858e-02,-9.7872988268e-02,-7.4791479206e-02,-0.2416759126,-0.9703570236,-0.9703570236,0.2416759126,1.3096983569e-01,2.4865703434e-01,3.4832890419e-01,-1.32670374e+00,4.56660002e-04,2.29716907e-04
4,25,7.9160051454e-02,1.1172532839e-01,-9.7823874559e-02,-4.0813974991e-02,0.8891013848,-0.4577103096,-0.4577103096,-0.8891013848,6.9102120464e-02,-6.1891535460e-02,3.8836096625e-02,-2.66617445e+00,4.08439497e-04,2.07784311e-04
5,25,9.7583815822e-02,1.1356292556e-01,-4.5032842185e-02,7.6123003870e-02,0.9987454869,0.0500744684,0.0500744684,-0.9987454869,-3.8151068118e-01,-8.6118667371e-03,4.9040407184e-01,3.09149723e+00,1.07521812e-03,5.40706599e-04
6,25,6.0369345313e-02,1.0598398042e-01,7.1424627361e-02,1.5716451387e-01,0.8987642223,0.4384322899,0.4384322899,-0.8987642223,-2.4442686535e-02,6.6598923212e-02,1.2525779509e-01,2.68773902e+00,6.95969140e-04,3.52427459e-04
7,25,-1.2876287247e-02,6.3517489770e-02,1.2983719950e-01,1.6261982276e-01,-0.3004733514,0.9537902102,0.9537902102,0.3004733514,4.4792068409e-02,9.2042300187e-02,6.6941777949e-02,1.26560743e+00,5.22956371e-04,2.67508753e-04
8,25,-8.1356277314e-02,-7.8096848014e-03,3.7474884501e-02,1.3507497891e-01,-0.8081173541,0.5890215124,0.5890215124,0.8081173541,2.9345366173e-01,-1.5640154213e-01,4.1967071260e-01,6.29847482e-01,1.03250573e-03,5.20157778e-04
9,28,-1.3489068167e-01,-7.4055901209e-02,-6.7598657308e-02,4.2977509742e-02,-0.8891091570,0.4576952119,0.4576952119,0.8891091570,1.5582710932e+00,-8.6471620983e-01,1.8697479020e+00,4.75401219e-01,1.00838575e-03,5.04139058e-04

DETAILED CIRCLE DATA:

Region 0 (25 circles):
Circle_Index,Center_X,Center_Y,Radius
0,-1.3308815260e-01,-6.7210859459e-02,2.2965775259e-03
1,-1.3365151115e-01,-6.8539424128e-02,1.2924469165e-03
2,-1.3391095990e-01,-6.9651378864e-02,1.0239824069e-03
3,-1.3388021425e-01,-7.0557000138e-02,8.3968128372e-04
4,-1.3357298961e-01,-7.1266564422e-02,7.7366145816e-04
5,-1.3300300136e-01,-7.1790348186e-02,8.3205716077e-04
6,-1.3218396490e-01,-7.2138627902e-02,9.8007617860e-04
7,-1.3112959563e-01,-7.2321680041e-02,1.1732187467e-03
8,-1.2985360894e-01,-7.2349781073e-02,1.3823783615e-03
9,-1.2836972024e-01,-7.2233207470e-02,1.5925998770e-03
10,-1.2669164492e-01,-7.1982235703e-02,1.7963793615e-03
11,-1.2483309837e-01,-7.1607142243e-02,1.9897524242e-03
12,-1.2280779600e-01,-7.1118203561e-02,2.1704855502e-03
13,-1.2062945320e-01,-7.0525696128e-02,2.3372446321e-03
14,-1.1831178536e-01,-6.9839896416e-02,2.4891931261e-03
15,-1.1586850789e-01,-6.9071080895e-02,2.6257859439e-03
16,-1.1331333618e-01,-6.8229526036e-02,2.7466576822e-03
17,-1.1065998563e-01,-6.7325508311e-02,2.8515590100e-03
18,-1.0792217163e-01,-6.6369304190e-02,2.9403190013e-03
19,-1.0511360958e-01,-6.5371190145e-02,3.0128221614e-03
20,-1.0224801488e-01,-6.4341442647e-02,3.0689941886e-03
21,-9.9339102923e-02,-6.3290338167e-02,3.1087932005e-03
22,-9.6400589109e-02,-6.2228153176e-02,3.1322045974e-03
23,-9.3446188833e-02,-6.1165164145e-02,3.1392385483e-03
24,-9.0489617493e-02,-6.0111647545e-02,3.1299295897e-03

Region 1 (25 circles):
Circle_Index,Center_X,Center_Y,Radius
0,-8.7544590484e-02,-5.9077879847e-02,3.1043381767e-03
1,-8.4624823205e-02,-5.8074137523e-02,3.0625543195e-03
2,-8.1744031052e-02,-5.7110697043e-02,3.0047037463e-03
3,-7.8915929421e-02,-5.6197834878e-02,2.9309574360e-03
4,-7.6154233709e-02,-5.5345827500e-02,2.8415459483e-03
5,-7.3472659314e-02,-5.4564951380e-02,2.7367809184e-03
6,-7.0884921632e-02,-5.3865482989e-02,2.6170876532e-03
7,-6.8404736060e-02,-5.3257698797e-02,2.4830555016e-03
8,-6.6045817995e-02,-5.2751875276e-02,2.3355175695e-03
9,-6.3821882834e-02,-5.2358288897e-02,2.1756803432e-03
10,-6.1746645973e-02,-5.2087216132e-02,2.0053405688e-03
11,-5.9833822809e-02,-5.1948933450e-02,1.8272578526e-03
12,-5.8097128740e-02,-5.1953717324e-02,1.5807237629e-03
13,-5.6677476498e-02,-5.2074096516e-02,1.4532921591e-03
14,-5.5212269388e-02,-5.2295479340e-02,1.5109867472e-03
15,-5.3704868685e-02,-5.2611330814e-02,1.5691110425e-03
16,-5.2158635664e-02,-5.3015115952e-02,1.6262659482e-03
17,-5.0576931598e-02,-5.3500299771e-02,1.6813377193e-03
18,-4.8963117765e-02,-5.4060347287e-02,1.7334423308e-03
19,-4.7320555438e-02,-5.4688723517e-02,1.7818781274e-03
20,-4.5652605892e-02,-5.5378893475e-02,1.8260874186e-03
21,-4.3962630403e-02,-5.6124322179e-02,1.8656261740e-03
22,-4.2253990245e-02,-5.6918474644e-02,1.9001404964e-03
23,-4.0530046693e-02,-5.7754815886e-02,1.9293485328e-03
24,-3.8794161023e-02,-5.8626810922e-02,1.9530266686e-03

