Region Metadata for: shape_2.txt
================================================================================

REGION DEFINITION: Circle union (one circle per point)
  Each point gets a circle with radius = average distance to neighbors

Total vertices: 203
Number of regions: 10
Points per region:
  Region 0: 20 points
  Region 1: 20 points
  Region 2: 20 points
  Region 3: 20 points
  Region 4: 20 points
  Region 5: 20 points
  Region 6: 20 points
  Region 7: 20 points
  Region 8: 20 points
  Region 9: 23 points

REGION SUMMARY:
Region_Index,Num_Points,BBox_Min_X,BBox_Max_X,BBox_Min_Y,BBox_Max_Y,Normal_X,Normal_Y,Tangent_X,Tangent_Y,Fitted_Circle_X,Fitted_Circle_Y,Fitted_Circle_Radius,Local_AoA_Rad,Union_Area,Collection_Area
0,20,-5.8432732354e-02,-2.5618486049e-02,-1.4256149961e-01,-9.8226991302e-02,-0.8164383949,-0.5774325479,-0.5774325479,0.8164383949,1.2000641223e-02,-8.0261381183e-02,7.1730725783e-02,-6.15580483e-01,2.73316839e-04,1.39707687e-04
1,20,-2.8610957665e-02,2.1552824204e-03,-1.4721891466e-01,-1.2108596410e-01,0.5667755298,-0.8238722588,-0.8238722588,-0.5667755298,-1.8042534642e-02,-1.2853782976e-01,1.6245502176e-02,-2.17338309e+00,1.84228238e-04,9.55424290e-05
2,20,-2.6897942453e-03,1.0622735448e-02,-1.2394880143e-01,-5.9406056965e-02,0.9919193669,-0.1268698924,-0.1268698924,-0.9919193669,-4.4343391089e-01,-3.7634514054e-02,4.5156304049e-01,-3.01437992e+00,3.80823244e-04,1.91160868e-04
3,20,5.0099546808e-03,2.4320513883e-02,-6.2373050919e-02,-5.1052053451e-04,0.9745533038,-0.2241558791,-0.2241558791,-0.9745533038,2.6052864003e-01,-9.0348727851e-02,-2.5465775472e-01,-2.91551587e+00,3.67057591e-04,1.82687797e-04
4,20,1.7996900145e-02,4.7528055314e-02,-4.3771931016e-03,7.5838901177e-02,0.9576332253,-0.2879906348,-0.2879906348,-0.9576332253,-1.9296129171e+00,6.2993447955e-01,2.0506240705e+00,-2.84946474e+00,6.24283559e-04,3.12388143e-04
5,20,4.0569053670e-02,5.7956385753e-02,7.1717366614e-02,1.4393092382e-01,0.9879337689,-0.1548769456,-0.1548769456,-0.9879337689,-2.0481126983e-01,1.5034557585e-01,2.6009884500e-01,-2.98608976e+00,4.87133048e-04,2.45856740e-04
6,20,1.2432019023e-02,5.6049823275e-02,1.3811275374e-01,1.5002880141e-01,-0.0671347988,0.9977439144,0.9977439144,0.0671347988,3.9654057141e-02,1.0334594395e-01,4.4089884168e-02,1.50361100e+00,2.03859144e-04,1.05264300e-04
7,20,-1.6070883453e-02,1.4977550318e-02,8.2019530228e-02,1.4158368770e-01,-0.9074837695,0.4200871434,0.4200871434,0.9074837695,1.6931077976e-01,4.2541952176e-02,1.8575978940e-01,4.33541345e-01,4.22781645e-04,2.13136632e-04
8,20,-4.2932368053e-02,-8.8383834767e-03,-8.2673479384e-03,8.6546062162e-02,-0.9600643462,0.2797792901,0.2797792901,0.9600643462,1.1475533140e+00,-3.0230690455e-01,1.2227727905e+00,2.83564211e-01,8.69017436e-04,4.35750024e-04
9,23,-5.9000946206e-02,-3.4542356531e-02,-1.0066505027e-01,-3.3522675065e-03,-0.9833109363,0.1819329618,0.1819329618,0.9833109363,5.6139882169e-01,-1.6769209174e-01,6.2140528733e-01,1.82951864e-01,7.81026502e-04,3.92093660e-04

DETAILED CIRCLE DATA:

Region 0 (20 circles):
Circle_Index,Center_X,Center_Y,Radius
0,-5.6062128109e-02,-1.0059759555e-01,2.3706042454e-03
1,-5.6032063697e-02,-1.0224231264e-01,1.7282294528e-03
2,-5.5756931103e-02,-1.0403276369e-01,1.8978298823e-03
3,-5.5251844050e-02,-1.0595159348e-01,2.0689668978e-03
4,-5.4531916264e-02,-1.0798144684e-01,2.2339260102e-03
5,-5.3612261468e-02,-1.1010496855e-01,2.3877749244e-03
6,-5.2507993387e-02,-1.1230480344e-01,2.5273139557e-03
7,-5.1234225745e-02,-1.1456359630e-01,2.6504263252e-03
8,-4.9806072267e-02,-1.1686399194e-01,2.7556867655e-03
9,-4.8238646677e-02,-1.1918863516e-01,2.8421252843e-03
10,-4.6547062700e-02,-1.2152017077e-01,2.9090830002e-03
11,-4.4746434059e-02,-1.2384124358e-01,2.9561234508e-03
12,-4.2851874481e-02,-1.2613449838e-01,2.9829784468e-03
13,-4.0878497687e-02,-1.2838257999e-01,2.9895166204e-03
14,-3.8841417404e-02,-1.3056813322e-01,2.9757281955e-03
15,-3.6755747356e-02,-1.3267380285e-01,2.9417229394e-03
16,-3.4636601267e-02,-1.3468223371e-01,2.8877407966e-03
17,-3.2499092861e-02,-1.3657607060e-01,2.8141770746e-03
18,-3.0358335863e-02,-1.3833795831e-01,2.7216269160e-03
19,-2.8229443997e-02,-1.3995054166e-01,2.6109579476e-03

Region 1 (20 circles):
Circle_Index,Center_X,Center_Y,Radius
0,-2.6127530988e-02,-1.4139646546e-01,2.4834266771e-03
1,-2.4067710559e-02,-1.4265837450e-01,2.3408653556e-03
2,-2.2065096437e-02,-1.4371891360e-01,2.1859844106e-03
3,-2.0134802344e-02,-1.4456072755e-01,2.0228635013e-03
4,-1.8291942005e-02,-1.4516646116e-01,1.8577354692e-03
5,-1.6551629145e-02,-1.4551875925e-01,1.7001554099e-03
6,-1.4928977488e-02,-1.4560026660e-01,1.5644179051e-03
7,-1.3439100759e-02,-1.4539362804e-01,1.4702646640e-03
8,-1.2097112681e-02,-1.4488148836e-01,1.4405571712e-03
9,-1.0918126980e-02,-1.4404649237e-01,1.6806917492e-03
10,-9.5688452946e-03,-1.4268523375e-01,1.9527407215e-03
11,-8.2975514997e-03,-1.4115578213e-01,2.0295496080e-03
12,-7.1012898642e-03,-1.3946610502e-01,2.1140871882e-03
13,-5.9771046572e-03,-1.3762416996e-01,2.2034762259e-03
14,-4.9220401476e-03,-1.3563794446e-01,2.2953326307e-03
15,-3.9331406042e-03,-1.3351539607e-01,2.3877136664e-03
16,-3.0074502960e-03,-1.3126449230e-01,2.4790505436e-03
17,-2.1420134920e-03,-1.2889320068e-01,2.5680811876e-03
18,-1.3338744610e-03,-1.2640948873e-01,2.6537904269e-03
19,-5.8007747202e-04,-1.2382132399e-01,2.7353598925e-03

Region 2 (20 circles):
Circle_Index,Center_X,Center_Y,Radius
0,1.2233320604e-04,-1.2113667398e-01,2.8121274513e-03
1,7.7631330425e-04,-1.1836350623e-01,2.8835549877e-03
2,1.3848185537e-03,-1.1550978826e-01,2.9492030805e-03
3,1.9508046854e-03,-1.1258348760e-01,3.0087111985e-03
4,2.4772274305e-03,-1.0959257178e-01,3.0617822351e-03
5,2.9670425201e-03,-1.0654500833e-01,3.1081704252e-03
6,3.4232056851e-03,-1.0344876476e-01,3.1476718899e-03
7,3.8486726568e-03,-1.0031180861e-01,3.1801172257e-03
8,4.2463991661e-03,-9.7142107405e-02,3.2053656882e-03
