Region Metadata for: shape_3.txt
================================================================================

REGION DEFINITION: Circle union (one circle per point)
  Each point gets a circle with radius = average distance to neighbors

Total vertices: 199
Number of regions: 10
Points per region:
  Region 0: 19 points
  Region 1: 19 points
  Region 2: 19 points
  Region 3: 19 points
  Region 4: 19 points
  Region 5: 19 points
  Region 6: 19 points
  Region 7: 19 points
  Region 8: 19 points
  Region 9: 28 points

REGION SUMMARY:
Region_Index,Num_Points,BBox_Min_X,BBox_Max_X,BBox_Min_Y,BBox_Max_Y,Normal_X,Normal_Y,Tangent_X,Tangent_Y,Fitted_Circle_X,Fitted_Circle_Y,Fitted_Circle_Radius,Local_AoA_Rad,Union_Area,Collection_Area
0,19,-5.8130271623e-02,-7.5525703542e-03,-1.1332068645e-01,-5.3391021065e-02,-0.7724255540,-0.6351053169,-0.6351053169,0.7724255540,1.0242701797e-01,3.0965151950e-02,1.8050730171e-01,-6.88144858e-01,5.53697960e-04,2.79928582e-04
1,19,-1.3001860575e-02,5.5362581186e-02,-1.4388924787e-01,-1.0736848727e-01,-0.4300544422,-0.9028029556,-0.9028029556,0.4300544422,6.7412007997e-02,-3.5356397711e-02,1.0726314085e-01,-1.12624325e+00,5.56029845e-04,2.83228077e-04
2,19,5.2409313729e-02,7.7443680954e-02,-1.4346396693e-01,-9.6990435386e-02,0.9322902099,-0.3617111618,-0.3617111618,-0.9322902099,5.0644104112e-02,-1.1702039546e-01,2.4661912261e-02,-2.77148997e+00,3.14444027e-04,1.64221241e-04
3,19,3.1917378332e-02,7.3293274843e-02,-1.0089807712e-01,-2.5794266156e-02,0.8944961267,0.4470756974,0.4470756974,-0.8944961267,-1.0273523788e+00,-6.1621031021e-01,1.2138829209e+00,2.67809921e+00,6.51577981e-04,3.26609367e-04
4,19,2.4090382176e-02,3.8047274124e-02,-3.0009938627e-02,3.0009139951e-02,0.9966341985,0.0819772802,0.0819772802,-0.9966341985,9.5234954641e-02,4.9630947242e-03,-6.8480938594e-02,3.05952328e+00,3.59277513e-04,1.76850958e-04
5,19,2.7278010049e-02,4.0775019968e-02,2.6716837812e-02,8.5995595937e-02,0.9917027624,-0.1285520556,-0.1285520556,-0.9917027624,-1.4289556866e-01,8.2718090585e-02,1.8088029333e-01,-3.01268387e+00,3.42359994e-04,1.72664957e-04
6,19,-5.7338370290e-03,3.9312468008e-02,8.3599830615e-02,1.2996026420e-01,0.7187693487,0.6952486054,0.6952486054,-0.7187693487,-5.3564540770e-02,3.3742798516e-02,1.0539837345e-01,2.37282693e+00,3.90474365e-04,1.98845879e-04
7,19,-5.5351216946e-02,-1.2271258621e-03,1.2430612540e-01,1.4445849427e-01,0.1595690931,0.9871867627,0.9871867627,-0.1595690931,-3.7165184934e-02,9.8987647103e-02,4.2063958979e-02,1.73105046e+00,3.44548091e-04,1.77937109e-04
8,19,-7.5124124453e-02,-5.0925850633e-02,5.8461615764e-02,1.3633652602e-01,-0.9738060993,0.2273800364,0.2273800364,0.9738060993,1.0859850093e-01,5.9585348727e-02,1.7895924596e-01,2.29386397e-01,6.11884687e-04,3.09228804e-04
9,28,-7.5813613844e-02,-5.3235260275e-02,-5.6610250656e-02,6.3021608493e-02,-0.9917934801,-0.1278502754,-0.1278502754,0.9917934801,2.3213299255e-01,3.8910142751e-02,3.0337861384e-01,-1.28201163e-01,9.71096026e-04,4.89437583e-04

DETAILED CIRCLE DATA:

Region 0 (19 circles):
Circle_Index,Center_X,Center_Y,Radius
0,-5.5210789891e-02,-5.6310502797e-02,2.9194817319e-03
1,-5.4062301711e-02,-5.8785037141e-02,2.8174277382e-03
2,-5.2724272693e-02,-6.1365560753e-02,2.9923278044e-03
3,-5.1204570185e-02,-6.4042081926e-02,3.1590818717e-03
4,-4.9511061532e-02,-6.6804608958e-02,3.3168263945e-03
5,-4.7651614081e-02,-6.9643150143e-02,3.4649305413e-03
6,-4.5634095176e-02,-7.2547713776e-02,3.6029287055e-03
7,-4.3466372164e-02,-7.5508308153e-02,3.7304752118e-03
8,-4.1156312392e-02,-7.8514941569e-02,3.8473134447e-03
9,-3.8711783205e-02,-8.1557622320e-02,3.9532545227e-03
10,-3.6140651949e-02,-8.4626358701e-02,4.0481624188e-03
11,-3.3450785970e-02,-8.7711159007e-02,4.1319435301e-03
12,-3.0650052614e-02,-9.0802031533e-02,4.2045393903e-03
13,-2.7746319227e-02,-9.3888984576e-02,4.2659216687e-03
14,-2.4747453155e-02,-9.6962026430e-02,4.3160888850e-03
15,-2.1661321745e-02,-1.0001116539e-01,4.3550644687e-03
16,-1.8495792342e-02,-1.0302640975e-01,4.3828959255e-03
17,-1.5258732291e-02,-1.0599776781e-01,4.3996549738e-03
18,-1.1958008941e-02,-1.0891524787e-01,4.4054385863e-03

Region 1 (19 circles):
Circle_Index,Center_X,Center_Y,Radius
0,-8.6014896347e-03,-1.1176885821e-01,4.4003709402e-03
1,-5.1970417200e-03,-1.1454860713e-01,4.3846063312e-03
2,-1.7525325425e-03,-1.1724450293e-01,4.3583331670e-03
3,1.7241705518e-03,-1.1984655391e-01,4.3217792180e-03
4,5.2252002170e-03,-1.2234476836e-01,4.2752183716e-03
5,8.7426891070e-03,-1.2472915457e-01,4.2189792217e-03
6,1.2268769876e-02,-1.2698972084e-01,4.1534559278e-03
7,1.5795575177e-02,-1.2911647547e-01,4.0791218974e-03
8,1.9315237666e-02,-1.3109942675e-01,3.9965469907e-03
9,2.2819889995e-02,-1.3292858297e-01,3.9064191066e-03
10,2.6301664819e-02,-1.3459395244e-01,3.8095711707e-03
11,2.9752694792e-02,-1.3608554345e-01,3.7070146688e-03
12,3.3165112568e-02,-1.3739336428e-01,3.5999808773e-03
13,3.6531050800e-02,-1.3850742325e-01,3.4899706748e-03
14,3.9842642144e-02,-1.3941772863e-01,3.3788130107e-03
15,4.3092019252e-02,-1.4011428874e-01,3.2687303176e-03
16,4.6271314779e-02,-1.4058711186e-01,3.1624057645e-03
17,4.9372661379e-02,-1.4082620628e-01,3.0630415817e-03
18,5.2388191705e-02,-1.4082158032e-01,2.9743894807e-03

Region 2 (19 circles):
Circle_Index,Center_X,Center_Y,Radius
0,5.5310038412e-02,-1.4056324225e-01,2.9007246831e-03
1,5.8130334155e-02,-1.4004120038e-01,2.8467286320e-03
2,6.0841211585e-02,-1.3924546300e-01,2.8172506186e-03
3,6.3434803359e-02,-1.3816603840e-01,2.8169451969e-03
4,6.5903242130e-02,-1.3679293489e-01,2.7533580470e-03
5,6.8071209659e-02,-1.3521387267e-01,2.6136653241e-03
6,6.9904493279e-02,-1.3344825583e-01,2.5042059354e-03
7,7.1416859425e-02,-1.3150406396e-01,2.4486302722e-03
8,7.2622074536e-02,-1.2938927662e-01,2.4436333275e-03
9,7.3533905047e-02,-1.2711187340e-01,2.4830149492e-03
10,7.4166117396e-02,-1.2467983388e-01,2.5587298155e-03
11,7.4532478020e-02,-1.2210113765e-01,2.6621830870e-03
12,7.4646753355e-02,-1.1938376428e-01,2.7852730351e-03
13,7.4522709838e-02,-1.1653569335e-01,2.9209711155e-03
14,7.4174113907e-02,-1.1356490444e-01,3.0634972344e-03
15,7.3614731997e-02,-1.1047937714e-01,3.2082494835e-03
16,7.2858330547e-02,-1.0728709103e-01,3.3516284890e-03
17,7.1918675992e-02,-1.0399602568e-01,3.4908414490e-03
18,7.0809534770e-02,-1.0061416067e-01,3.6237252880e-03

Region 3 (19 circles):
Circle_Index,Center_X,Center_Y,Radius
