Region Metadata for: shape_4.txt
================================================================================

REGION DEFINITION: Circle union (one circle per point)
  Each point gets a circle with radius = average distance to neighbors

Total vertices: 232
Number of regions: 10
Points per region:
  Region 0: 23 points
  Region 1: 23 points
  Region 2: 23 points
  Region 3: 23 points
  Region 4: 23 points
  Region 5: 23 points
  Region 6: 23 points
  Region 7: 23 points
  Region 8: 23 points
  Region 9: 25 points

REGION SUMMARY:
Region_Index,Num_Points,BBox_Min_X,BBox_Max_X,BBox_Min_Y,BBox_Max_Y,Normal_X,Normal_Y,Tangent_X,Tangent_Y,Fitted_Circle_X,Fitted_Circle_Y,Fitted_Circle_Radius,Local_AoA_Rad,Union_Area,Collection_Area
0,23,3.5149253598e-02,8.9063348404e-02,-1.2327220705e-01,-1.0709216699e-01,-0.2138409313,-0.9768684948,-0.9768684948,0.2138409313,7.6028571965e-02,-4.5371164717e-02,7.5411802936e-02,-1.35529117e+00,2.55935293e-04,1.30668387e-04
1,23,8.5431127039e-02,1.0215566874e-01,-1.2200061270e-01,-8.2274805804e-02,0.9997875681,0.0206111274,0.0206111274,-0.9997875681,8.0150773396e-02,-1.0580830814e-01,1.9523164932e-02,3.12098007e+00,2.08269516e-04,1.07036839e-04
2,23,3.7884372061e-02,8.9541878043e-02,-8.5630886524e-02,-2.7416209291e-02,0.7528286798,0.6582165137,0.6582165137,-0.7528286798,-2.9588950832e-01,-3.7476345370e-01,4.8147271131e-01,2.42314540e+00,4.47475086e-04,2.23833774e-04
3,23,9.3978528851e-04,4.1998839208e-02,-3.1425366381e-02,1.8662364710e-02,0.7818561283,0.6234588957,0.6234588957,-0.7818561283,1.7948799793e-01,1.2303383859e-01,-2.0628384498e-01,2.46843376e+00,3.14241581e-04,1.56133644e-04
4,23,-2.7245024238e-02,4.6620363300e-03,1.5954213349e-02,7.9281267912e-02,0.9095329135,0.4156319035,0.4156319035,-0.9095329135,1.4594485819e+00,7.1168043196e-01,-1.6138963054e+00,2.71295520e+00,3.77024094e-04,1.88156425e-04
5,23,-5.4497727476e-02,-2.2514375769e-02,7.6012542264e-02,1.2472435820e-01,0.8486713110,0.5289206045,0.5289206045,-0.8486713110,-1.6708531329e-01,2.4978950973e-02,1.5120551751e-01,2.58426446e+00,2.69540779e-04,1.36054155e-04
6,23,-9.4536986563e-02,-5.3013170833e-02,1.1261109568e-01,1.2674347616e-01,-0.2521867763,0.9676785778,0.9676785778,0.2521867763,-6.3089948039e-02,7.4256677853e-02,5.0414445869e-02,1.31585692e+00,1.61908844e-04,8.32078508e-05
7,23,-9.5464583884e-02,-6.1905202327e-02,4.6864710427e-02,1.1376659862e-01,-0.9112906901,-0.4117636192,-0.4117636192,0.9112906901,3.9790618565e-01,3.0261680073e-01,5.2755561755e-01,-4.24388516e-01,4.53276110e-04,2.27643898e-04
8,23,-6.7860863183e-02,-1.4616739084e-02,-3.5308653585e-02,5.1180583665e-02,-0.8664560440,-0.4992533663,-0.4992533663,0.8664560440,9.8926784843e-01,6.0196718936e-01,1.1903719324e+00,-5.22736852e-01,7.64437251e-04,3.82918592e-04
9,25,-2.0687247070e-02,3.8543900518e-02,-1.1018373213e-01,-3.0527740956e-02,-0.8122959663,-0.5832454571,-0.5832454571,0.8122959663,5.4676277082e-01,3.1292638337e-01,6.6182836882e-01,-6.22718399e-01,6.81371407e-04,3.41214132e-04

DETAILED CIRCLE DATA:

Region 0 (23 circles):
Circle_Index,Center_X,Center_Y,Radius
0,3.7457840259e-02,-1.0940075365e-01,2.3085866613e-03
1,3.8562144810e-02,-1.1050767266e-01,1.6276469186e-03
2,3.9880698317e-02,-1.1156754932e-01,1.7573770319e-03
3,4.1397647030e-02,-1.1257864479e-01,1.8876017988e-03
4,4.3097137195e-02,-1.1353922025e-01,2.0138305711e-03
5,4.4963315060e-02,-1.1444753686e-01,2.1329844281e-03
6,4.6980326873e-02,-1.1530185578e-01,2.2429331251e-03
7,4.9132318882e-02,-1.1610043817e-01,2.3421830048e-03
8,5.1403437334e-02,-1.1684154521e-01,2.4296725913e-03
9,5.3777828477e-02,-1.1752343805e-01,2.5046393975e-03
10,5.6239638559e-02,-1.1814437786e-01,2.5665327151e-03
11,5.8773013827e-02,-1.1870262580e-01,2.6149561101e-03
12,6.1362100528e-02,-1.1919644305e-01,2.6496293869e-03
13,6.3991044912e-02,-1.1962409075e-01,2.6703636500e-03
14,6.6643993225e-02,-1.1998383009e-01,2.6770455438e-03
15,6.9305091715e-02,-1.2027392221e-01,2.6696283299e-03
16,7.1958486629e-02,-1.2049262830e-01,2.6481285456e-03
17,7.4588324216e-02,-1.2063820950e-01,2.6126278071e-03
18,7.7178750722e-02,-1.2070892699e-01,2.5632800550e-03
19,7.9713912397e-02,-1.2070304193e-01,2.5003253488e-03
20,8.2177955486e-02,-1.2061881549e-01,2.4241123696e-03
21,8.4555026239e-02,-1.2045450882e-01,2.3351333399e-03
22,8.6829270903e-02,-1.2020838310e-01,2.2340775009e-03

Region 1 (23 circles):
Circle_Index,Center_X,Center_Y,Radius
0,8.8984835724e-02,-1.1987869949e-01,2.1219132129e-03
1,9.1005866952e-02,-1.1946371915e-01,2.0000151083e-03
2,9.2876510834e-02,-1.1896170324e-01,1.8703627308e-03
3,9.4580913616e-02,-1.1837091294e-01,1.7358512630e-03
4,9.6103221548e-02,-1.1768960941e-01,1.6007689370e-03
5,9.7427580877e-02,-1.1691605380e-01,1.4714859769e-03
6,9.8538137850e-02,-1.1604850730e-01,1.3572881042e-03
7,9.9419038715e-02,-1.1508523105e-01,1.2709089471e-03
8,1.0005442972e-01,-1.1402448622e-01,1.2276257430e-03
9,1.0042845711e-01,-1.1286453399e-01,1.2416867436e-03
10,1.0052526714e-01,-1.1160363550e-01,1.3211223105e-03
11,1.0032900605e-01,-1.1024005194e-01,1.8266626942e-03
12,9.9734050771e-02,-1.0804351048e-01,2.3016268459e-03
13,9.9026795630e-02,-1.0582600249e-01,2.3544568427e-03
14,9.8211241186e-02,-1.0358866032e-01,2.4088565867e-03
15,9.7291387999e-02,-1.0133261635e-01,2.4641777248e-03
16,9.6271236631e-02,-9.9059002940e-02,2.5198476648e-03
17,9.5154787642e-02,-9.6768952456e-02,2.5753629810e-03
18,9.3946041592e-02,-9.4463597264e-02,2.6302823794e-03
19,9.2648999041e-02,-9.2144069733e-02,2.6842197282e-03
20,9.1267660551e-02,-8.9811502227e-02,2.7368374630e-03
21,8.9806026681e-02,-8.7467027113e-02,2.7878405319e-03
22,8.8268097992e-02,-8.5111776757e-02,2.8369709536e-03

Region 2 (23 circles):
Circle_Index,Center_X,Center_Y,Radius
0,8.6657875045e-02,-8.2746883527e-02,2.8840029977e-03
1,8.4979358400e-02,-8.0373479787e-02,2.9287389613e-03
2,8.3236548617e-02,-7.7992697905e-02,2.9710054972e-03
3,8.1433446257e-02,-7.5605670247e-02,3.0106504373e-03
