Region Metadata for: shape_5.txt
================================================================================

REGION DEFINITION: Circle union (one circle per point)
  Each point gets a circle with radius = average distance to neighbors

Total vertices: 192
Number of regions: 10
Points per region:
  Region 0: 19 points
  Region 1: 19 points
  Region 2: 19 points
  Region 3: 19 points
  Region 4: 19 points
  Region 5: 19 points
  Region 6: 19 points
  Region 7: 19 points
  Region 8: 19 points
  Region 9: 21 points

REGION SUMMARY:
Region_Index,Num_Points,BBox_Min_X,BBox_Max_X,BBox_Min_Y,BBox_Max_Y,Normal_X,Normal_Y,Tangent_X,Tangent_Y,Fitted_Circle_X,Fitted_Circle_Y,Fitted_Circle_Radius,Local_AoA_Rad,Union_Area,Collection_Area
0,19,1.2382355473e-02,5.6473513275e-02,-1.1647528322e-01,-1.0377609642e-01,0.0935824226,-0.9956115358,-0.9956115358,-0.0935824226,2.8112042613e-02,-7.0468893607e-02,4.3467336393e-02,-1.66451588e+00,2.12179025e-04,1.08795055e-04
1,19,5.3226713584e-02,9.7983663221e-02,-1.0865896174e-01,-8.7433666774e-02,0.3856996631,-0.9226243926,-0.9226243926,-0.3856996631,2.5803909516e-01,-5.2306111414e-01,-4.6346505177e-01,-1.96676237e+00,2.37434066e-04,1.18663834e-04
2,19,8.0155313733e-02,1.0655625001e-01,-8.9604802558e-02,-5.2571906763e-02,0.9172008958,0.3984250454,0.3984250454,-0.9172008958,6.6079105245e-02,-9.0432440265e-02,3.6618291119e-02,2.73179358e+00,2.83799841e-04,1.43761467e-04
3,19,2.4715363541e-02,8.5771634289e-02,-5.7549260289e-02,1.4628667447e-02,0.7716850961,0.6360048054,0.6360048054,-0.7716850961,-2.7230251832e+00,-2.3133210538e+00,3.6018640684e+00,2.45228274e+00,7.78790036e-04,3.89712316e-04
4,19,-3.2394878899e-02,3.1233762321e-02,8.6926579890e-03,8.1686693455e-02,0.7606888245,0.6491167170,0.6491167170,-0.7606888245,-5.3879414318e+00,-4.5520558975e+00,7.0823521466e+00,2.43516996e+00,8.15947744e-04,4.07750936e-04
5,19,-7.2075836477e-02,-2.6603518266e-02,7.6339159547e-02,1.2699298972e-01,0.7498872345,0.6615656699,0.6615656699,-0.7498872345,-1.4954470746e+00,-1.1630596348e+00,1.9213218554e+00,2.41868794e+00,4.31702524e-04,2.16035530e-04
6,19,-9.3903269027e-02,-6.8919967672e-02,1.2384379656e-01,1.4345195618e-01,0.3999293797,0.9165459570,0.9165459570,-0.3999293797,-1.3292543349e-01,6.8094256529e-02,8.4606010997e-02,1.98223612e+00,1.88888564e-04,9.82653191e-05
7,19,-9.1762135711e-02,-5.6870608121e-02,5.0050848481e-02,1.3434948543e-01,-0.9448430203,-0.3275235364,-0.3275235364,0.9448430203,4.0412257630e+00,1.5175894995e+00,4.3559354221e+00,-3.33681349e-01,7.45303972e-04,3.72769638e-04
8,19,-6.5072538525e-02,-2.2657842488e-02,-3.7811221915e-02,5.5282465575e-02,-0.9310208554,-0.3649659803,-0.3649659803,0.9310208554,1.3279702818e+00,5.4511325090e-01,1.4736029102e+00,-3.73596263e-01,9.25916943e-04,4.63653415e-04
9,21,-3.0274660508e-02,1.5928327888e-02,-1.1112807896e-01,-3.2649528723e-02,-0.8787610953,-0.4772619170,-0.4772619170,0.8787610953,3.2843506358e-01,1.0669227252e-01,3.8197630671e-01,-4.97536222e-01,6.80227009e-04,3.41824950e-04

DETAILED CIRCLE DATA:

Region 0 (19 circles):
Circle_Index,Center_X,Center_Y,Radius
0,1.4704820884e-02,-1.1042708451e-01,2.3224654111e-03
1,1.5813066002e-02,-1.1158642956e-01,1.5980165472e-03
2,1.7093745715e-02,-1.1253244900e-01,1.6079179661e-03
3,1.8537583234e-02,-1.1327510272e-01,1.6565643402e-03
4,2.0135301772e-02,-1.1382435059e-01,1.7348996252e-03
5,2.1877624537e-02,-1.1419015251e-01,1.8338911136e-03
6,2.3755274743e-02,-1.1438246836e-01,1.9456905170e-03
7,2.5758975600e-02,-1.1441125803e-01,2.0640251912e-03
8,2.7879450319e-02,-1.1428648140e-01,2.1841105431e-03
9,3.0107422112e-02,-1.1401809835e-01,2.3023778442e-03
10,3.2433614189e-02,-1.1361606877e-01,2.4161842543e-03
11,3.4848749762e-02,-1.1309035255e-01,2.5235689531e-03
12,3.7343552043e-02,-1.1245090957e-01,2.6230671207e-03
13,3.9908744241e-02,-1.1170769972e-01,2.7135742333e-03
14,4.2535049569e-02,-1.1087068287e-01,2.7942489345e-03
15,4.5213191237e-02,-1.0994981892e-01,2.8644439079e-03
16,4.7933892457e-02,-1.0895506775e-01,2.9236566040e-03
17,5.0687876441e-02,-1.0789638925e-01,2.9714939436e-03
18,5.3465866398e-02,-1.0678374330e-01,3.0076468775e-03

Region 1 (19 circles):
Circle_Index,Center_X,Center_Y,Radius
0,5.6258585540e-02,-1.0562708978e-01,3.0318719559e-03
1,5.9056757079e-02,-1.0443638858e-01,3.0439779521e-03
2,6.1851104226e-02,-1.0322159959e-01,3.0438162001e-03
3,6.4632350192e-02,-1.0199268269e-01,3.0312737431e-03
4,6.7391218187e-02,-1.0075959777e-01,3.0062686988e-03
5,7.0118431424e-02,-9.9532304701e-02,2.9687474835e-03
6,7.2804713114e-02,-9.8320763381e-02,2.9186837325e-03
7,7.5440786466e-02,-9.7134933692e-02,2.8560789435e-03
8,7.8017374694e-02,-9.5984775517e-02,2.7809650756e-03
9,8.0525201008e-02,-9.4880248744e-02,2.6934096188e-03
10,8.2954988618e-02,-9.3831313255e-02,2.5935240580e-03
11,8.5297460738e-02,-9.2847928937e-02,2.4814773201e-03
12,8.7543340576e-02,-9.1940055675e-02,2.3575169206e-03
13,8.9683351345e-02,-9.1117653352e-02,2.2220025379e-03
14,9.1708216257e-02,-9.0390681855e-02,2.0754604598e-03
15,9.3608658521e-02,-8.9769101068e-02,1.4561178337e-03
16,9.4478519225e-02,-8.9492679249e-02,1.0075434668e-03
17,9.5523350979e-02,-8.9141212678e-02,1.1728047671e-03
18,9.6694194866e-02,-8.8723135129e-02,1.2894683546e-03

Region 2 (19 circles):
Circle_Index,Center_X,Center_Y,Radius
0,9.7942091969e-02,-8.8246880372e-02,1.3579221851e-03
1,9.9218083372e-02,-8.7720882182e-02,1.3787686098e-03
2,1.0047321016e-01,-8.7153574330e-02,1.3529884838e-03
3,1.0165851341e-01,-8.6553390589e-02,1.2822828880e-03
4,1.0272503421e-01,-8.5928764731e-02,1.1698497163e-03
5,1.0362381365e-01,-8.5288130528e-02,1.0223444923e-03
6,1.0430589280e-01,-8.4639921753e-02,8.5533963583e-04
7,1.0472231276e-01,-8.3992572178e-02,7.0792280586e-04
8,1.0482411459e-01,-8.3354515576e-02,6.5971432610e-04
9,1.0456233940e-01,-8.2734185719e-02,1.9939106107e-03
10,1.0255894872e-01,-8.0093643267e-02,3.3640294407e-03
11,1.0048553260e-01,-7.7381965261e-02,3.4613721644e-03
12,9.8344387135e-02,-7.4601674893e-02,3.5553568443e-03
13,9.6137808403e-02,-7.1755295358e-02,3.6459775371e-03
14,9.3868092497e-02,-6.8845349847e-02,3.7332291479e-03
15,9.1537535504e-02,-6.5874361554e-02,3.8171072839e-03
16,8.9148433513e-02,-6.2844853673e-02,3.8976081382e-03
17,8.6703082610e-02,-5.9759349396e-02,3.9747283949e-03
18,8.4203778886e-02,-5.6620371916e-02,4.0484651528e-03

Region 3 (19 circles):
Circle_Index,Center_X,Center_Y,Radius
0,8.1652818427e-02,-5.3430444426e-02,4.1188158623e-03
1,7.9052497322e-02,-5.0192090120e-02,4.1857782741e-03
2,7.6405111658e-02,-4.6907832191e-02,4.2493503960e-03
3,7.3712957525e-02,-4.3580193831e-02,4.3095304575e-03
4,7.0978331010e-02,-4.0211698234e-02,4.3663168794e-03
5,6.8203528202e-02,-3.6804868592e-02,4.4197082494e-03
6,6.5390845188e-02,-3.3362228100e-02,4.4697032997e-03
7,6.2542578057e-02,-2.9886299949e-02,4.5163008901e-03
8,5.9661022896e-02,-2.6379607334e-02,4.5594999912e-03
9,5.6748475795e-02,-2.2844673446e-02,4.5992996723e-03
10,5.3807232840e-02,-1.9284021480e-02,4.6356990893e-03
11,5.0839590121e-02,-1.5700174629e-02,4.6686974751e-03
12,4.7847843725e-02,-1.2095656084e-02,4.6982941308e-03
13,4.4834289740e-02,-8.4729890404e-03,4.7244884188e-03
14,4.1801224256e-02,-4.8346966901e-03,4.7472797555e-03
15,3.8750943358e-02,-1.1833022265e-03,4.7666676067e-03
16,3.5685743137e-02,2.4786711574e-03,4.7826514815e-03
17,3.2607919680e-02,6.1487002686e-03,4.7952309289e-03
18,2.9519769075e-02,9.8242619138e-03,4.8044055332e-03

Region 4 (19 circles):
Circle_Index,Center_X,Center_Y,Radius
0,2.6423587410e-02,1.3502832900e-02,4.8101749110e-03
1,2.3321670773e-02,1.7181890034e-02,4.8125387083e-03
2,2.0216315253e-02,2.0858910123e-02,4.8114965972e-03
3,1.7109816938e-02,2.4531369974e-02,4.8070482742e-03
4,1.4004471916e-02,2.8196746393e-02,4.7991934577e-03
5,1.0902576274e-02,3.1852516188e-02,4.7879318862e-03
6,7.8064261021e-03,3.5496156166e-02,4.7732633165e-03
7,4.7183174870e-03,3.9125143133e-02,4.7551875222e-03
8,1.6405465173e-03,4.2736953896e-02,4.7337042926e-03
9,-1.4245907189e-03,4.6329065263e-02,4.7088134311e-03
10,-4.4747981335e-03,4.9898954040e-02,4.6805147541e-03
11,-7.5077796383e-03,5.3444097033e-02,4.6488080904e-03
12,-1.0521239145e-02,5.6961971051e-02,4.6136932800e-03
13,-1.3512880566e-02,6.0450052900e-02,4.5751701731e-03
14,-1.6480407813e-02,6.3905819387e-02,4.5332386301e-03
15,-1.9421524797e-02,6.7326747318e-02,4.4878985201e-03
16,-2.2333935431e-02,7.0710313501e-02,4.4391497208e-03
17,-2.5215343626e-02,7.4053994743e-02,4.3869921179e-03
18,-2.8063453295e-02,7.7355267850e-02,4.3314256048e-03

Region 5 (19 circles):
Circle_Index,Center_X,Center_Y,Radius
0,-3.0875968348e-02,8.0611609629e-02,4.2724500819e-03
1,-3.3650592699e-02,8.3820496888e-02,4.2100654565e-03
2,-3.6385030258e-02,8.6979406433e-02,4.1442716423e-03
3,-3.9076984939e-02,9.0085815072e-02,4.0750685596e-03
4,-4.1724160651e-02,9.3137199610e-02,4.0024561346e-03
5,-4.4324261309e-02,9.6131036855e-02,3.9264342998e-03
6,-4.6874990822e-02,9.9064803615e-02,3.8470029935e-03
7,-4.9374053104e-02,1.0193597669e-01,3.7641621604e-03
8,-5.1819152066e-02,1.0474203290e-01,3.6779117512e-03
9,-5.4207991620e-02,1.0748044905e-01,3.5882517232e-03
10,-5.6538275677e-02,1.1014870193e-01,3.4951820406e-03
11,-5.8807708150e-02,1.1274426836e-01,3.3987026751e-03
12,-6.1013992951e-02,1.1526462515e-01,3.2988136064e-03
13,-6.3154833991e-02,1.1770724910e-01,2.3231075297e-03
14,-6.4087981669e-02,1.1874849557e-01,1.5436482128e-03
15,-6.5234828141e-02,1.1998857430e-01,1.8146333573e-03
16,-6.6568384622e-02,1.2139778746e-01,2.0457462797e-03
17,-6.8061662326e-02,1.2294643720e-01,2.2369286281e-03
18,-6.9687672464e-02,1.2460482571e-01,2.3881640130e-03

Region 6 (19 circles):
Circle_Index,Center_X,Center_Y,Radius
0,-7.1419426252e-02,1.2634325514e-01,2.4994585793e-03
1,-7.3229934901e-02,1.2813202766e-01,2.5708351087e-03
2,-7.5092209626e-02,1.2994144544e-01,2.6023329097e-03
3,-7.6979261640e-02,1.3174181066e-01,2.5940116364e-03
4,-7.8864102157e-02,1.3350342547e-01,2.5459595078e-03
5,-8.0719742389e-02,1.3519659205e-01,2.4583083682e-03
6,-8.2519193551e-02,1.3679161255e-01,2.3312612659e-03
7,-8.4235466855e-02,1.3825878916e-01,2.1651454032e-03
8,-8.5841573515e-02,1.3956842404e-01,1.9605216723e-03
9,-8.7310524744e-02,1.4069081935e-01,1.7184354973e-03
10,-8.8615331756e-02,1.4159627726e-01,1.4410764244e-03
11,-8.9729005765e-02,1.4225509995e-01,1.1338836172e-03
12,-9.0624557983e-02,1.4263758957e-01,8.1436660650e-04
13,-9.1274999624e-02,1.4271404830e-01,5.5678719660e-04
14,-9.1653341901e-02,1.4245477830e-01,5.4417912580e-04
15,-9.1732596028e-02,1.4183008174e-01,8.3948426761e-04
16,-9.1485773219e-02,1.4081026079e-01,2.2691048887e-03
17,-9.0359987738e-02,1.3750793657e-01,3.5432812891e-03
18,-8.9200973072e-02,1.3410212738e-01,3.6499740115e-03

Region 7 (19 circles):
Circle_Index,Center_X,Center_Y,Radius
0,-8.8009428442e-02,1.3059677816e-01,3.7527072689e-03
1,-8.6786053066e-02,1.2699583381e-01,3.8514805690e-03
2,-8.5531546164e-02,1.2330323926e-01,3.9462937516e-03
3,-8.4246606957e-02,1.1952293942e-01,4.0371469464e-03
4,-8.2931934664e-02,1.1565887921e-01,4.1240405411e-03
5,-8.1588228506e-02,1.1171500355e-01,4.2069751564e-03
6,-8.0216187701e-02,1.0769525737e-01,4.2859516288e-03
7,-7.8816511470e-02,1.0360358557e-01,4.3609709973e-03
8,-7.7389899032e-02,9.9443933073e-02,4.4320344947e-03
9,-7.5937049608e-02,9.5220244804e-02,4.4991435421e-03
10,-7.4458662418e-02,9.0936465678e-02,4.5622997468e-03
11,-7.2955436680e-02,8.6596540613e-02,4.6215049023e-03
12,-7.1428071616e-02,8.2204414529e-02,4.6767609910e-03
13,-6.9877266444e-02,7.7764032343e-02,4.7280701889e-03
14,-6.8303720385e-02,7.3279338973e-02,4.7754348723e-03
15,-6.6708132658e-02,6.8754279339e-02,4.8188576268e-03
16,-6.5091202484e-02,6.4192798359e-02,4.8583412580e-03
17,-6.3453629082e-02,5.9598840950e-02,4.8938888042e-03
18,-6.1796111672e-02,5.4976352033e-02,4.9255035514e-03

Region 8 (19 circles):
Circle_Index,Center_X,Center_Y,Radius
0,-6.0119349474e-02,5.0329276524e-02,4.9531890510e-03
1,-5.8424041708e-02,4.5661559343e-02,4.9769491385e-03
2,-5.6710887593e-02,4.0977145408e-02,4.9967879567e-03
3,-5.4980586350e-02,3.6279979638e-02,5.0127099805e-03
4,-5.3233837198e-02,3.1574006950e-02,5.0247200451e-03
5,-5.1471339357e-02,2.6863172264e-02,5.0328233780e-03
6,-4.9693792047e-02,2.2151420498e-02,5.0370256354e-03
7,-4.7901894488e-02,1.7442696569e-02,5.0373329419e-03
8,-4.6096345899e-02,1.2740945398e-02,5.0337519365e-03
9,-4.4277845501e-02,8.0501119015e-03,5.0262898238e-03
10,-4.2447092514e-02,3.3741409989e-03,5.0149544315e-03
11,-4.0604786156e-02,-1.2830223917e-03,4.9997542765e-03
12,-3.8751625649e-02,-5.9174333518e-03,4.9806986385e-03
13,-3.6888310211e-02,-1.0525146963e-02,4.9577976440e-03
14,-3.5015539063e-02,-1.5102218307e-02,4.9310623620e-03
15,-3.3134011425e-02,-1.9644702464e-02,4.9005049130e-03
16,-3.1244426516e-02,-2.4148654518e-02,4.8661385929e-03
17,-2.9347483557e-02,-2.8610129548e-02,4.8279780159e-03
18,-2.7443881766e-02,-3.3025182638e-02,4.7860392777e-03

Region 9 (21 circles):
Circle_Index,Center_X,Center_Y,Radius
0,-2.5534320364e-02,-3.7389868867e-02,4.7403401442e-03
1,-2.3619498571e-02,-4.1700243319e-02,4.6909002691e-03
2,-2.1700115607e-02,-4.5952361074e-02,4.6377414459e-03
3,-1.9776870691e-02,-5.0142277213e-02,4.5808879014e-03
4,-1.7850463044e-02,-5.4266046820e-02,4.5203666378e-03
5,-1.5921591884e-02,-5.8319724974e-02,4.4562078333e-03
6,-1.3990956433e-02,-6.2299366758e-02,4.3884453127e-03
7,-1.2059255910e-02,-6.6201027253e-02,4.3171171030e-03
8,-1.0127189534e-02,-7.0020761540e-02,4.2422660911e-03
9,-8.1954565255e-03,-7.3754624702e-02,4.1639408061e-03
10,-6.2647561045e-03,-7.7398671820e-02,4.0821963537e-03
11,-4.3357874908e-03,-8.0948957974e-02,3.9970955373e-03
12,-2.4092499041e-03,-8.4401538248e-02,3.9087102091e-03
13,-4.8584256438e-04,-8.7752467722e-02,3.8171229062e-03
14,1.4337353086e-03,-9.0997801478e-02,3.7224288404e-03
15,3.3487844951e-03,-9.4133594598e-02,3.6247383318e-03
16,5.2586057750e-03,-9.7155902162e-02,3.5241797971e-03
17,7.1624999288e-03,-1.0006077925e-01,3.4209034389e-03
18,9.0597677363e-03,-1.0284428095e-01,3.3150858195e-03
19,1.0949709978e-02,-1.0550246234e-01,3.2069355584e-03
20,1.2831627434e-02,-1.0803137850e-01,3.0967004541e-03
