Region Metadata for: shape_6.txt
================================================================================

REGION DEFINITION: Circle union (one circle per point)
  Each point gets a circle with radius = average distance to neighbors

Total vertices: 240
Number of regions: 10
Points per region:
  Region 0: 24 points
  Region 1: 24 points
  Region 2: 24 points
  Region 3: 24 points
  Region 4: 24 points
  Region 5: 24 points
  Region 6: 24 points
  Region 7: 24 points
  Region 8: 24 points
  Region 9: 24 points

REGION SUMMARY:
Region_Index,Num_Points,BBox_Min_X,BBox_Max_X,BBox_Min_Y,BBox_Max_Y,Normal_X,Normal_Y,Tangent_X,Tangent_Y,Fitted_Circle_X,Fitted_Circle_Y,Fitted_Circle_Radius,Local_AoA_Rad,Union_Area,Collection_Area
0,24,-1.3288856563e-01,-5.3448772128e-02,-7.6558044509e-02,-1.4103582180e-02,-0.6078568244,-0.7940466491,-0.7940466491,0.6078568244,3.7482590051e-01,5.6896367705e-01,7.7339156072e-01,-9.17437588e-01,7.49047735e-04,3.74841395e-04
1,24,-5.8923142850e-02,4.0903227338e-02,-1.2427956781e-01,-6.9790017725e-02,-0.4496073944,-0.8932262820,-0.8932262820,0.4496073944,1.5054765391e-01,2.1372514521e-01,3.5327254542e-01,-1.10447057e+00,9.36811414e-04,4.71799951e-04
2,24,3.6973763614e-02,1.0724904524e-01,-1.2777302706e-01,-9.7971546158e-02,0.3021731928,-0.9532530417,-0.9532530417,-0.3021731928,6.2115663962e-02,-7.6076820820e-02,4.9055419443e-02,-1.87776792e+00,4.76262272e-04,2.43877915e-04
3,24,1.0213635907e-01,1.3643289567e-01,-1.0198552960e-01,-1.4962962823e-03,0.9617489680,-0.2739323322,-0.2739323322,-0.9617489680,-1.1241405663e-01,1.1818699748e-02,2.4479990173e-01,-2.86411326e+00,8.35084421e-04,4.21126501e-04
4,24,1.2274103263e-01,1.3780259081e-01,-5.9046892211e-03,7.2847822038e-02,0.9940473816,0.1089486260,0.1089486260,-0.9940473816,-8.0821264817e-03,2.5464136782e-02,1.4236182083e-01,3.03242734e+00,5.41731819e-04,2.74708989e-04
5,24,5.4141669511e-02,1.2470083341e-01,5.6509186267e-02,7.5493263401e-02,-0.1819116893,0.9833148719,0.9833148719,0.1819116893,1.2620342311e-01,-1.0179356848e-01,1.7481705460e-01,1.38786610e+00,4.08515538e-04,2.06325958e-04
6,24,-1.6826714613e-02,5.7393034456e-02,5.2176049548e-02,6.4452084662e-02,0.0284595678,0.9995949445,0.9995949445,-0.0284595678,2.6641787699e-02,1.8279533918e-01,-1.2757874230e-01,1.59925974e+00,4.33549361e-04,2.14967010e-04
7,24,-1.0590124834e-01,-1.3059416384e-02,5.7741659881e-02,7.8257229143e-02,0.1541354910,0.9880497206,0.9880497206,-0.1541354910,-1.6237443442e-01,-5.6396793528e-01,6.4189986545e-01,1.72554876e+00,6.67194616e-04,3.34587754e-04
8,24,-1.5264107016e-01,-1.0250893214e-01,4.6702038912e-02,7.8304089015e-02,-0.5012829171,0.8652834432,0.8652834432,0.5012829171,-1.2021528061e-01,4.4194022312e-02,3.1709063973e-02,1.04571553e+00,3.27907593e-04,1.67857458e-04
9,24,-1.5295535745e-01,-1.2998461958e-01,-1.7052340701e-02,4.9473594938e-02,-0.9593747103,-0.2821350123,-0.2821350123,0.9593747103,-3.9100201882e-02,4.4591578436e-02,1.1084766349e-01,-2.86018804e-01,3.81548449e-04,1.94282857e-04

DETAILED CIRCLE DATA:

Region 0 (24 circles):
Circle_Index,Center_X,Center_Y,Radius
0,-1.3056286577e-01,-1.6429282039e-02,2.3256998586e-03
1,-1.2840250007e-01,-1.8305172418e-02,2.9303192505e-03
2,-1.2612702891e-01,-2.0259449421e-02,3.0659633918e-03
3,-1.2374005052e-01,-2.2287864025e-02,3.1961961148e-03
4,-1.2124516315e-01,-2.4386167207e-02,3.3210210287e-03
5,-1.1864596504e-01,-2.6550109946e-02,3.4404427427e-03
6,-1.1594605443e-01,-2.8775443218e-02,3.5544667594e-03
7,-1.1314902956e-01,-3.1057918001e-02,3.6630994105e-03
8,-1.1025848869e-01,-3.3393285273e-02,3.7663478212e-03
9,-1.0727803004e-01,-3.5777296010e-02,3.8642198981e-03
10,-1.0421125187e-01,-3.8205701190e-02,3.9567243346e-03
11,-1.0106175241e-01,-4.0674251792e-02,4.0438706311e-03
12,-9.7833129909e-02,-4.3178698791e-02,4.1256691282e-03
13,-9.4528982609e-02,-4.5714793165e-02,4.2021310507e-03
14,-9.1152908753e-02,-4.8278285893e-02,4.2732685640e-03
15,-8.7708506583e-02,-5.0864927951e-02,4.3390948406e-03
16,-8.4199374342e-02,-5.3470470317e-02,4.3996241373e-03
17,-8.0629110272e-02,-5.6090663968e-02,4.4548718858e-03
18,-7.7001312616e-02,-5.8721259882e-02,4.5048547944e-03
19,-7.3319579616e-02,-6.1358009036e-02,4.5495909645e-03
20,-6.9587509515e-02,-6.3996662407e-02,4.5891000221e-03
21,-6.5808700557e-02,-6.6632970974e-02,4.6234032664e-03
22,-6.1986750983e-02,-6.9262685712e-02,4.6525238378e-03
23,-5.8125259035e-02,-7.1881557601e-02,4.6764869075e-03

Region 1 (24 circles):
Circle_Index,Center_X,Center_Y,Radius
0,-5.4227822958e-02,-7.4485337617e-02,4.6953198918e-03
1,-5.0298040993e-02,-7.7069776738e-02,4.7090526947e-03
2,-4.6339511383e-02,-7.9630625941e-02,4.7177179827e-03
3,-4.2355832370e-02,-8.2163636203e-02,4.7213514967e-03
4,-3.8350602198e-02,-8.4664558502e-02,4.7199924062e-03
5,-3.4327419108e-02,-8.7129143816e-02,4.7136837132e-03
6,-3.0289881344e-02,-8.9553143122e-02,4.7024727121e-03
7,-2.6241587148e-02,-9.1932307397e-02,4.6864115170e-03
8,-2.2186134763e-02,-9.4262387619e-02,4.6655576639e-03
9,-1.8127122431e-02,-9.6539134765e-02,4.6399748031e-03
10,-1.4068148395e-02,-9.8758299812e-02,4.6097334957e-03
11,-1.0012810898e-02,-1.0091563374e-01,4.5749121308e-03
12,-5.9647081822e-03,-1.0300688752e-01,4.5355979856e-03
13,-1.9274384902e-03,-1.0502781214e-01,4.4918884521e-03
14,2.0953999352e-03,-1.0697415857e-01,4.4438924587e-03
15,6.1002088515e-03,-1.0884167778e-01,4.3917321217e-03
16,1.0083390016e-02,-1.1062612077e-01,4.3355446654e-03
17,1.4041345186e-02,-1.1232323849e-01,4.2754846584e-03
18,1.7970476119e-02,-1.1392878194e-01,4.2117266196e-03
19,2.1867184572e-02,-1.1543850209e-01,4.1444680563e-03
20,2.5727872303e-02,-1.1684814991e-01,4.0739330056e-03
21,2.9548941069e-02,-1.1815347639e-01,4.0003761575e-03
22,3.3326792628e-02,-1.1935023249e-01,3.9240876468e-03
23,3.7057828736e-02,-1.2043416921e-01,3.8453986020e-03

Region 2 (24 circles):
Circle_Index,Center_X,Center_Y,Radius
0,4.0738451152e-02,-1.2140103751e-01,3.7646875375e-03
