Region Metadata for: shape_7.txt
================================================================================

REGION DEFINITION: Circle union (one circle per point)
  Each point gets a circle with radius = average distance to neighbors

Total vertices: 209
Number of regions: 10
Points per region:
  Region 0: 20 points
  Region 1: 20 points
  Region 2: 20 points
  Region 3: 20 points
  Region 4: 20 points
  Region 5: 20 points
  Region 6: 20 points
  Region 7: 20 points
  Region 8: 20 points
  Region 9: 29 points

REGION SUMMARY:
Region_Index,Num_Points,BBox_Min_X,BBox_Max_X,BBox_Min_Y,BBox_Max_Y,Normal_X,Normal_Y,Tangent_X,Tangent_Y,Fitted_Circle_X,Fitted_Circle_Y,Fitted_Circle_Radius,Local_AoA_Rad,Union_Area,Collection_Area
0,20,-9.2136286102e-02,-2.2649277964e-02,-8.6320390710e-02,-6.5672785429e-02,-0.2167180050,-0.9762342477,-0.9762342477,0.2167180050,-4.0356848238e-02,1.3832667951e-02,9.6425806450e-02,-1.35234501e+00,4.75851712e-04,2.42321900e-04
1,20,-2.6720866365e-02,5.9019185564e-02,-8.6151863379e-02,-7.0834430579e-02,0.0951772061,-0.9954603455,-0.9954603455,-0.0951772061,-2.1235684878e-01,2.1828586792e+00,2.2730643336e+00,-1.66611782e+00,6.65148026e-04,3.32973262e-04
2,20,5.5266848636e-02,1.1077434046e-01,-8.8074674449e-02,-7.0388428788e-02,-0.2228625764,-0.9748498715,-0.9748498715,0.2228625764,7.2797306259e-02,-1.2935556503e-01,-5.6091067981e-02,-1.34604641e+00,3.18344028e-04,1.57357797e-04
3,20,9.3494316221e-02,1.2058966823e-01,-9.1594095335e-02,-4.9554882313e-02,0.9356569087,0.3529109650,0.3529109650,-0.9356569087,4.2128545208e+00,2.0422304054e+00,-4.6176934916e+00,2.78091222e+00,3.80794746e-04,1.96557449e-04
4,20,4.1625939389e-02,1.0032242231e-01,-5.4691683151e-02,3.7886845087e-02,0.8611699274,0.5083171807,0.5083171807,-0.8611699274,-1.9961186910e+00,-1.2265567339e+00,2.3999372065e+00,2.60836310e+00,1.00716560e-03,5.04017522e-04
5,20,-1.6905091311e-02,4.9421069948e-02,3.1765038179e-02,1.2067118994e-01,0.8139222591,0.5809737998,0.5809737998,-0.8139222591,-5.6659178809e-01,-3.3739017134e-01,7.1627067765e-01,2.52166804e+00,1.02877997e-03,5.16182614e-04
6,20,-5.8537817702e-02,-1.0608301732e-02,1.1487601563e-01,1.5554167407e-01,0.5913113937,0.8064433245,0.8064433245,-0.5913113937,-9.2479516634e-02,7.1763821377e-02,8.9872282220e-02,2.20348034e+00,4.53310469e-04,2.30615776e-04
7,20,-5.9291522911e-02,-3.6168481461e-02,6.9020743287e-02,1.5009605181e-01,-0.9775032614,-0.2109203024,-0.2109203024,0.9775032614,6.3046003470e-01,2.6605647940e-01,6.9793639357e-01,-2.12516347e-01,6.47119109e-04,3.24549400e-04
8,20,-4.9805711256e-02,-3.1894719182e-02,5.3039518035e-03,7.3722927439e-02,-0.9941967161,0.1075773665,0.1075773665,0.9941967161,-9.4135552701e-02,4.2642431947e-02,-5.9202841768e-02,1.07785951e-01,4.74475303e-04,2.33090723e-04
9,29,-9.6079642725e-02,-4.4904887991e-02,-6.8857122161e-02,9.5178126892e-03,-0.8622219092,0.5065307289,0.5065307289,0.8622219092,2.8924649884e-02,-9.9738121632e-02,1.2877180591e-01,5.31156372e-01,5.90969977e-04,2.99816672e-04

DETAILED CIRCLE DATA:

Region 0 (20 circles):
Circle_Index,Center_X,Center_Y,Radius
0,-8.9540644473e-02,-6.8268427057e-02,2.5956416289e-03
1,-8.7237779539e-02,-7.0094043284e-02,2.9519537622e-03
2,-8.4791459155e-02,-7.1769712548e-02,2.9843586008e-03
3,-8.2207300366e-02,-7.3300496612e-02,3.0276644357e-03
4,-7.9490920219e-02,-7.4691457240e-02,3.0799757679e-03
5,-7.6647935758e-02,-7.5947656195e-02,3.1394872931e-03
6,-7.3683964028e-02,-7.7074155242e-02,3.2045225493e-03
7,-7.0604622075e-02,-7.8076016142e-02,3.2735553119e-03
8,-6.7415526944e-02,-7.8958300661e-02,3.3452172708e-03
9,-6.4122295680e-02,-7.9726070560e-02,3.4182958634e-03
10,-6.0730545328e-02,-8.0384387604e-02,3.4917257499e-03
11,-5.7245892935e-02,-8.0938313557e-02,3.5645767058e-03
12,-5.3673955544e-02,-8.1392910181e-02,3.6360399457e-03
13,-5.0020350201e-02,-8.1753239240e-02,3.7054142288e-03
14,-4.6290693952e-02,-8.2024362497e-02,3.7720925753e-03
15,-4.2490603841e-02,-8.2211341717e-02,3.8355500500e-03
16,-3.8625696914e-02,-8.2319238662e-02,3.8953328192e-03
17,-3.4701590217e-02,-8.2353115096e-02,3.9510485250e-03
18,-3.0723900794e-02,-8.2318032782e-02,4.0023579286e-03
19,-2.6698245690e-02,-8.2219053484e-02,4.0489677257e-03

Region 1 (20 circles):
Circle_Index,Center_X,Center_Y,Radius
0,-2.2630241951e-02,-8.2061238965e-02,4.0906244136e-03
1,-1.8525506623e-02,-8.1849650989e-02,4.1271090873e-03
2,-1.4389656750e-02,-8.1589351319e-02,4.1582330457e-03
3,-1.0228309378e-02,-8.1285401719e-02,4.1838341030e-03
4,-6.0470815511e-03,-8.0942863952e-02,4.2037735084e-03
5,-1.8515903157e-03,-8.0566799782e-02,4.2179333964e-03
6,2.3525472833e-03,-8.0162270971e-02,4.2262146988e-03
7,6.5597142007e-03,-7.9734339284e-02,4.2285354646e-03
8,1.0764293391e-02,-7.9288066484e-02,4.2248295437e-03
9,1.4960667810e-02,-7.8828514334e-02,4.2150456028e-03
10,1.9143220411e-02,-7.8360744599e-02,4.1991464516e-03
11,2.3306334149e-02,-7.7889819040e-02,4.1771086653e-03
12,2.7444391979e-02,-7.7420799422e-02,4.1489225038e-03
13,3.1551776857e-02,-7.6958747509e-02,4.1145921335e-03
14,3.5622871736e-02,-7.6508725063e-02,4.0741361727e-03
15,3.9652059571e-02,-7.6075793849e-02,4.0275885934e-03
16,4.3633723318e-02,-7.5665015629e-02,3.9750000267e-03
17,4.7562245931e-02,-7.5281452167e-02,3.9164395411e-03
18,5.1432010364e-02,-7.4930165227e-02,3.8519969817e-03
19,5.5237399572e-02,-7.4616216571e-02,3.7817859919e-03

Region 2 (20 circles):
Circle_Index,Center_X,Center_Y,Radius
0,5.8972796511e-02,-7.4344667964e-02,3.7059478751e-03
1,6.2632584135e-02,-7.4120581170e-02,3.6246565013e-03
2,6.6211145398e-02,-7.3949017950e-02,3.5381245282e-03
3,6.9702863256e-02,-7.3835040069e-02,3.4466112814e-03
4,7.3102120663e-02,-7.3783709291e-02,3.3504327430e-03
5,7.6403300574e-02,-7.3800087378e-02,3.2499742197e-03
6,7.9600785943e-02,-7.3889236095e-02,3.1457064096e-03
7,8.2688959726e-02,-7.4056217204e-02,3.0382057554e-03
8,8.5662204878e-02,-7.4306092469e-02,2.2441790939e-03
9,8.7142044822e-02,-7.4578103458e-02,1.6383342948e-03
