Region Metadata for: shape_8.txt
================================================================================

REGION DEFINITION: Circle union (one circle per point)
  Each point gets a circle with radius = average distance to neighbors

Total vertices: 259
Number of regions: 10
Points per region:
  Region 0: 25 points
  Region 1: 25 points
  Region 2: 25 points
  Region 3: 25 points
  Region 4: 25 points
  Region 5: 25 points
  Region 6: 25 points
  Region 7: 25 points
  Region 8: 25 points
  Region 9: 34 points

REGION SUMMARY:
Region_Index,Num_Points,BBox_Min_X,BBox_Max_X,BBox_Min_Y,BBox_Max_Y,Normal_X,Normal_Y,Tangent_X,Tangent_Y,Fitted_Circle_X,Fitted_Circle_Y,Fitted_Circle_Radius,Local_AoA_Rad,Union_Area,Collection_Area
0,25,-9.9918681718e-02,-1.9967069403e-02,-8.2241581624e-02,-5.8197658734e-02,-0.2369636431,-0.9715185185,-0.9715185185,0.2369636431,-1.2506385639e-02,1.3491843402e-01,2.1353428887e-01,-1.33155705e+00,5.00764590e-04,2.52581464e-04
1,25,-2.3633337823e-02,7.0771789546e-02,-8.4235196343e-02,-7.4840935521e-02,0.0079810598,-0.9999681508,-0.9999681508,-0.0079810598,1.9643355094e-02,4.1756115082e-01,4.9808201497e-01,-1.57877747e+00,6.49583513e-04,3.26125604e-04
2,25,6.7392406131e-02,1.2250005741e-01,-8.1224348249e-02,-5.8935787645e-02,0.3256065839,-0.9455053424,-0.9455053424,-0.3256065839,7.9695382035e-02,-3.9502663002e-03,7.3101410204e-02,-1.90244953e+00,3.02626131e-04,1.53170210e-04
3,25,1.1341036309e-01,1.2354736878e-01,-6.0711692105e-02,-4.8682389204e-03,0.9937299672,0.1118067635,0.1118067635,-0.9937299672,-1.2774188150e-01,-6.4465873102e-02,2.4934938561e-01,3.02955163e+00,2.33381161e-04,1.17365354e-04
4,25,1.1293496185e-01,1.1781658520e-01,-6.6057086506e-03,4.2589489129e-02,0.9999999264,-0.0003836903,-0.0003836903,-0.9999999264,-5.7020119083e-01,3.1745557778e-02,6.8566647398e-01,-3.14120896e+00,1.79253613e-04,8.98323771e-05
5,25,6.0887382752e-02,1.1650375613e-01,4.0731370192e-02,6.8681736750e-02,0.4089721313,0.9125468732,0.9125468732,-0.4089721313,7.1330213759e-02,-2.1248655746e-03,6.5515058388e-02,1.99212373e+00,3.43854963e-04,1.73283004e-04
6,25,-3.8557461048e-02,6.4667843475e-02,6.2035685714e-02,8.4011103443e-02,0.1469236487,0.9891478360,0.9891478360,-0.1469236487,-1.0320896186e-01,-7.0565676896e-01,7.8864803198e-01,1.71825377e+00,7.91369791e-04,3.96555969e-04
7,25,-1.2867613625e-01,-3.4478909867e-02,7.2320003201e-02,8.5292527799e-02,-0.0556062341,0.9984527764,0.9984527764,0.0556062341,-6.8464340530e-02,-2.0035274291e-01,2.8192612097e-01,1.51516140e+00,6.56132593e-04,3.30304956e-04
8,25,-1.5849681141e-01,-1.2551939724e-01,2.8321307519e-02,7.7578585691e-02,-0.8596380255,0.5109035772,0.5109035772,0.8596380255,-1.2806886396e-01,4.5233847554e-02,2.8592858696e-02,5.36235576e-01,3.10399079e-04,1.59137031e-04
9,34,-1.5664297622e-01,-9.7219033691e-02,-6.1696055659e-02,3.1425010510e-02,-0.8512386856,-0.5247787154,-0.5247787154,0.8512386856,1.5608753619e-02,7.0035590412e-02,1.7407286762e-01,-5.52455136e-01,6.70851927e-04,3.40516895e-04

DETAILED CIRCLE DATA:

Region 0 (25 circles):
Circle_Index,Center_X,Center_Y,Radius
0,-9.7553045168e-02,-6.0563295284e-02,2.3656365500e-03
1,-9.5236020258e-02,-6.1742314452e-02,2.6297416816e-03
2,-9.2832574653e-02,-6.2881454670e-02,2.6895598478e-03
3,-9.0345434383e-02,-6.3981084351e-02,2.7489202098e-03
4,-8.7777325478e-02,-6.5041571905e-02,2.8075963331e-03
5,-8.5130973971e-02,-6.6063285744e-02,2.8653878644e-03
6,-8.2409105890e-02,-6.7046594279e-02,2.9221173855e-03
7,-7.9614447266e-02,-6.7991865922e-02,2.9776276154e-03
8,-7.6749724131e-02,-6.8899469083e-02,3.0317789390e-03
9,-7.3817662514e-02,-6.9769772174e-02,3.0844472379e-03
10,-7.0820988446e-02,-7.0603143605e-02,3.1355219918e-03
11,-6.7762427958e-02,-7.1399951789e-02,3.1849046220e-03
12,-6.4644707081e-02,-7.2160565137e-02,3.2325070482e-03
13,-6.1470551844e-02,-7.2885352059e-02,3.2782504313e-03
14,-5.8242688279e-02,-7.3574680967e-02,3.3220640803e-03
15,-5.4963842416e-02,-7.4228920272e-02,3.3638845003e-03
16,-5.1636740286e-02,-7.4848438385e-02,3.4036545633e-03
17,-4.8264107919e-02,-7.5433603718e-02,3.4413227855e-03
18,-4.4848671345e-02,-7.5984784682e-02,3.4768426973e-03
19,-4.1393156596e-02,-7.6502349688e-02,3.5101722929e-03
20,-3.7900289702e-02,-7.6986667147e-02,3.5412735483e-03
21,-3.4372796693e-02,-7.7438105471e-02,3.5701120008e-03
22,-3.0813403600e-02,-7.7857033071e-02,3.5966563791e-03
23,-2.7224836454e-02,-7.8243818357e-02,3.6208782798e-03
24,-2.3609821285e-02,-7.8598829742e-02,3.6427518823e-03

Region 1 (25 circles):
Circle_Index,Center_X,Center_Y,Radius
0,-1.9971084124e-02,-7.8922435636e-02,3.6622536989e-03
1,-1.6311351001e-02,-7.9215004451e-02,3.6793623549e-03
2,-1.2633347947e-02,-7.9476904598e-02,3.6940583943e-03
3,-8.9398009926e-03,-7.9708504488e-02,3.7063241099e-03
4,-5.2334361682e-03,-7.9910172532e-02,3.7161433927e-03
5,-1.5169795044e-03,-8.0082277142e-02,3.7235016004e-03
6,2.2068429682e-03,-8.0225186729e-02,3.7283854416e-03
7,5.9353052191e-03,-8.0339269704e-02,3.7307828744e-03
8,9.6656812177e-03,-8.0424894478e-02,3.7306830181e-03
9,1.3395244933e-02,-8.0482429462e-02,3.7280760770e-03
10,1.7121270336e-02,-8.0512243069e-02,3.7229532742e-03
11,2.0841031394e-02,-8.0514703708e-02,3.7153067960e-03
12,2.4551802077e-02,-8.0490179792e-02,3.7051297458e-03
13,2.8250856356e-02,-8.0439039731e-02,3.6924161057e-03
14,3.1935468198e-02,-8.0361651937e-02,3.6771607076e-03
15,3.5602911575e-02,-8.0258384821e-02,3.6593592121e-03
16,3.9250460454e-02,-8.0129606794e-02,3.6390080953e-03
17,4.2875388806e-02,-7.9975686267e-02,3.6161046446e-03
18,4.6474970600e-02,-7.9796991652e-02,3.5906469615e-03
19,5.0046479805e-02,-7.9593891360e-02,3.5626339751e-03
20,5.3587190391e-02,-7.9366753802e-02,3.5320654639e-03
21,5.7094376328e-02,-7.9115947389e-02,3.4989420881e-03
22,6.0565311584e-02,-7.8841840533e-02,3.4632654333e-03
23,6.3997270129e-02,-7.8544801644e-02,3.4250380679e-03
24,6.7387525933e-02,-7.8225199135e-02,3.3842636136e-03

Region 2 (25 circles):
