Region Metadata for: shape_9.txt
================================================================================

REGION DEFINITION: Circle union (one circle per point)
  Each point gets a circle with radius = average distance to neighbors

Total vertices: 236
Number of regions: 10
Points per region:
  Region 0: 23 points
  Region 1: 23 points
  Region 2: 23 points
  Region 3: 23 points
  Region 4: 23 points
  Region 5: 23 points
  Region 6: 23 points
  Region 7: 23 points
  Region 8: 23 points
  Region 9: 29 points

REGION SUMMARY:
Region_Index,Num_Points,BBox_Min_X,BBox_Max_X,BBox_Min_Y,BBox_Max_Y,Normal_X,Normal_Y,Tangent_X,Tangent_Y,Fitted_Circle_X,Fitted_Circle_Y,Fitted_Circle_Radius,Local_AoA_Rad,Union_Area,Collection_Area
0,23,-2.8468064359e-02,-1.7568267636e-02,-7.7067453549e-02,-1.8119859710e-02,-0.9928890488,-0.1190434240,-0.1190434240,0.9928890488,-1.8005416968e-01,-6.0300799422e-02,-1.5978495664e-01,-1.19326400e-01,2.93100739e-04,1.45229355e-04
1,23,-2.2408711151e-02,2.3399096744e-02,-9.5409661905e-02,-7.4528009553e-02,-0.2585954625,-0.9659857073,-0.9659857073,0.2585954625,-7.2994676067e-04,-7.2088564201e-02,2.2224576749e-02,-1.30922840e+00,2.89549307e-04,1.47460626e-04
2,23,1.9503155487e-02,1.1605351304e-01,-9.0547859164e-02,-5.0325568158e-02,0.3420637909,-0.9396767332,-0.9396767332,-0.3420637909,-7.6896365545e-02,3.2914146069e-01,4.2768836946e-01,-1.91990863e+00,8.26776630e-04,4.16246554e-04
3,23,1.1146627511e-01,1.5873527335e-01,-5.6604149162e-02,-1.4437964088e-03,0.7705274263,-0.6374068445,-0.6374068445,-0.7705274263,9.9154905450e-02,5.9132748084e-03,5.9317054809e-02,-2.45046452e+00,4.44421789e-04,2.28113991e-04
4,23,9.4301937265e-02,1.5771885128e-01,-4.1703824267e-03,4.4592785037e-02,0.5957302189,0.8031846029,0.8031846029,-0.5957302189,8.2129529286e-02,-4.4144796937e-02,8.5431967111e-02,2.20897082e+00,5.06957260e-04,2.58278050e-04
5,23,-4.5828152935e-03,9.8549371670e-02,3.7733297324e-02,6.4132504179e-02,0.1863590375,0.9824817093,0.9824817093,-0.1863590375,-5.3855410607e-02,-4.9380578170e-01,5.5599283126e-01,1.75825128e+00,8.66399188e-04,4.34658912e-04
6,23,-8.0797154645e-02,-2.1522720680e-04,5.5971998335e-02,7.0790791361e-02,0.1087492566,0.9940692125,0.9940692125,-0.1087492566,3.4888028472e+01,3.0080833162e+02,-3.0276540857e+02,1.67976108e+00,5.45591806e-04,2.73178024e-04
7,23,-1.3664178565e-01,-7.8322665241e-02,5.1113901508e-02,7.0814596453e-02,-0.2747809416,0.9615068560,0.9615068560,0.2747809416,-8.1476216142e-02,-3.8763326295e-02,1.0673129108e-01,1.29243446e+00,3.02985890e-04,1.53754034e-04
8,23,-1.3930845294e-01,-1.0169971567e-01,1.4363974894e-02,5.3186596765e-02,-0.7378440876,-0.6749711863,-0.6749711863,0.7378440876,-9.6575164058e-02,6.0998866999e-02,4.3055614210e-02,-7.40925650e-01,2.59144866e-04,1.33158364e-04
9,29,-1.0512135472e-01,-2.6070161845e-02,-2.0505538846e-02,1.9287071044e-02,-0.4243306751,-0.9055073043,-0.9055073043,0.4243306751,-2.2830508539e-01,-3.7135870017e-01,-4.0678616217e-01,-1.13257374e+00,4.87651754e-04,2.42542450e-04

DETAILED CIRCLE DATA:

Region 0 (23 circles):
Circle_Index,Center_X,Center_Y,Radius
0,-2.6701515023e-02,-1.9886409046e-02,1.7665493363e-03
1,-2.5741023084e-02,-2.1106370901e-02,1.6138278695e-03
2,-2.4895353085e-02,-2.2552173997e-02,1.7440100023e-03
3,-2.4156752709e-02,-2.4207964329e-02,1.8851622662e-03
4,-2.3517469642e-02,-2.6057887890e-02,2.0290629316e-03
5,-2.2969751567e-02,-2.8086090673e-02,2.1700334330e-03
6,-2.2505846171e-02,-3.0276718671e-02,2.3041852628e-03
7,-2.2118001137e-02,-3.2613917878e-02,2.4288388483e-03
8,-2.1798464150e-02,-3.5081834287e-02,2.5421240683e-03
9,-2.1539482895e-02,-3.7664613891e-02,2.6427170591e-03
10,-2.1333305056e-02,-4.0346402684e-02,2.7296687403e-03
11,-2.1172178319e-02,-4.3111346658e-02,2.8022927997e-03
12,-2.1048350368e-02,-4.5943591808e-02,2.8600919719e-03
13,-2.0954068887e-02,-4.8827284127e-02,2.9027092246e-03
14,-2.0881581562e-02,-5.1746569607e-02,2.9298954957e-03
15,-2.0823136076e-02,-5.4685594242e-02,2.9414888091e-03
16,-2.0770980116e-02,-5.7628504026e-02,2.9374016264e-03
17,-2.0717361365e-02,-6.0559444951e-02,2.9176146459e-03
18,-2.0654527508e-02,-6.3462563012e-02,2.8821762373e-03
19,-2.0574726230e-02,-6.6322004200e-02,2.8312075210e-03
20,-2.0470205215e-02,-6.9121914511e-02,2.7649139394e-03
21,-2.0333212148e-02,-7.1846439936e-02,2.6836052134e-03
22,-2.0155994715e-02,-7.4479726470e-02,2.5877270786e-03

Region 1 (23 circles):
Circle_Index,Center_X,Center_Y,Radius
0,-1.9930800599e-02,-7.7005920106e-02,2.4779105524e-03
1,-1.9649877485e-02,-7.9409166836e-02,2.3550483541e-03
2,-1.9305473058e-02,-8.1673612655e-02,2.2204145677e-03
3,-1.8889835003e-02,-8.3783403555e-02,2.0758544244e-03
4,-1.8395211004e-02,-8.5722685530e-02,1.9240882110e-03
5,-1.7813848746e-02,-8.7475604573e-02,1.7691966605e-03
6,-1.7137995914e-02,-8.9026306677e-02,1.6173709986e-03
7,-1.6359900193e-02,-9.0358937837e-02,1.4779540400e-03
8,-1.5471809266e-02,-9.1457644044e-02,1.3644758347e-03
9,-1.4465970819e-02,-9.2306571293e-02,1.2945283829e-03
10,-1.3334632537e-02,-9.2889865576e-02,1.2864804338e-03
11,-1.2070042104e-02,-9.3191672888e-02,1.3528541908e-03
12,-1.0664447205e-02,-9.3196139221e-02,1.8990866284e-03
13,-8.2867154919e-03,-9.2930076931e-02,2.4795849740e-03
14,-5.7419585045e-03,-9.2595950172e-02,2.6499457727e-03
15,-3.0382548161e-03,-9.2194856393e-02,2.8129032380e-03
16,-1.8368299952e-04,-9.1727893046e-02,2.9683374403e-03
17,2.8136783721e-03,-9.1196157579e-02,3.1161626921e-03
18,5.9457507260e-03,-9.0600747443e-02,3.2563173093e-03
19,9.2044554890e-03,-8.9942760088e-02,3.3887569393e-03
20,1.2581714088e-02,-8.9223292964e-02,3.5134501059e-03
21,1.6069447951e-02,-8.8443443521e-02,3.6303751723e-03
22,1.9659578504e-02,-8.7604309209e-02,3.7395182409e-03

Region 2 (23 circles):
Circle_Index,Center_X,Center_Y,Radius
0,2.3344027174e-02,-8.6706987478e-02,3.8408716862e-03
1,2.7114715388e-02,-8.5752575778e-02,3.9344331293e-03
2,3.0963564574e-02,-8.4742171559e-02,4.0202047269e-03
