# SPARTA_BEAM_MAPPING v1
# title: beam_coupling_example
# sparta_boundary_nodes: 20

# SECTION NODE_PROJECTIONS
# sparta_node_id  beam_elem  xi  gap_x  gap_y  active_flag
1 0 0.0000000000 -1.0000000000e-01 0.0000000000e+00 1
2 0 0.0000000000 0.0000000000e+00 0.0000000000e+00 1
3 0 0.0000000000 1.0000000000e-01 0.0000000000e+00 1
4 0 0.6250000000 1.0000000000e-01 0.0000000000e+00 1
5 1 0.2500000000 1.0000000000e-01 0.0000000000e+00 1
6 1 0.8750000000 1.0000000000e-01 2.7755575616e-17 1
7 2 0.5000000000 1.0000000000e-01 0.0000000000e+00 1
8 3 0.1250000000 1.0000000000e-01 0.0000000000e+00 1
9 3 0.7500000000 1.0000000000e-01 2.7755575616e-17 1
10 4 0.3750000000 1.0000000000e-01 0.0000000000e+00 1
11 4 1.0000000000 1.0000000000e-01 0.0000000000e+00 1
12 4 1.0000000000 0.0000000000e+00 0.0000000000e+00 1
13 4 1.0000000000 -1.0000000000e-01 0.0000000000e+00 1
14 4 0.3750000000 -1.0000000000e-01 0.0000000000e+00 1
15 3 0.7500000000 -1.0000000000e-01 2.7755575616e-17 1
16 3 0.1250000000 -1.0000000000e-01 0.0000000000e+00 1
17 2 0.5000000000 -1.0000000000e-01 0.0000000000e+00 1
18 1 0.8750000000 -1.0000000000e-01 2.7755575616e-17 1
19 1 0.2500000000 -1.0000000000e-01 0.0000000000e+00 1
20 0 0.6250000000 -1.0000000000e-01 0.0000000000e+00 1

# SECTION SPARTA_LINE_TOPOLOGY
# sparta_elem  sparta_node1  sparta_node2
1 1 2
2 2 3
3 3 4
4 4 5
5 5 6
6 6 7
7 7 8
8 8 9
9 9 10
10 10 11
11 11 12
12 12 13
13 13 14
14 14 15
15 15 16
16 16 17
17 17 18
18 18 19
19 19 20
20 20 1

# SECTION NODE_ADJACENT_ELEMENTS
# sparta_node_id  sparta_elem_prev  sparta_elem_next
1 20 1
2 1 2
3 2 3
4 3 4
5 4 5
6 5 6
7 6 7
8 7 8
9 8 9
10 9 10
11 10 11
12 11 12
13 12 13
14 13 14
15 14 15
16 15 16
17 16 17
18 17 18
19 18 19
20 19 20
