Refined Surface (Ordered)

202 points
202 lines

Points

1 -0.005 0.009999999998640763
2 -0.005 0.01999999999866864
3 -0.005 0.029999999998696292
4 -0.005 0.039999999998724056
5 -0.005 0.04999999999875182
6 -0.005 0.059999999998779474
7 -0.005 0.06999999999880724
8 -0.005 0.079999999998835
9 -0.005 0.08999999999886266
10 -0.005 0.09999999999889042
11 -0.005 0.10999999999891819
12 -0.005 0.11999999999894595
13 -0.005 0.12999999999897371
14 -0.005 0.13999999999900137
15 -0.005 0.14999999999902913
16 -0.005 0.15999999999905679
17 -0.005 0.16999999999908466
18 -0.005 0.17999999999911243
19 -0.005 0.18999999999914008
20 -0.005 0.19999999999916784
21 -0.005 0.2099999999991955
22 -0.005 0.21999999999922337
23 -0.005 0.22999999999925114
24 -0.005 0.2399999999992788
25 -0.005 0.24999999999930655
26 -0.005 0.2599999999993342
27 -0.005 0.269999999999362
28 -0.005 0.27999999999938974
29 -0.005 0.2899999999994175
30 -0.005 0.29999999999944515
31 -0.005 0.3099999999994729
32 -0.005 0.3199999999995007
33 -0.005 0.32999999999952845
34 -0.005 0.3399999999995562
35 -0.005 0.34999999999958387
36 -0.005 0.35999999999961163
37 -0.005 0.3699999999996393
38 -0.005 0.37999999999966705
39 -0.005 0.3899999999996949
40 -0.005 0.3999999999997226
41 -0.005 0.40999999999975034
42 -0.005 0.419999999999778
43 -0.005 0.42999999999980576
44 -0.005 0.43999999999983364
45 -0.005 0.4499999999998613
46 -0.005 0.45999999999988905
47 -0.005 0.4699999999999167
48 -0.005 0.47999999999994447
49 -0.005 0.48999999999997224
50 -0.005 0.5
51 0.005 0.5
52 0.005 0.49000000000002775
53 0.005 0.4800000000000555
54 0.005 0.47000000000008324
55 0.005 0.46000000000011093
56 0.005 0.4500000000001387
57 0.005 0.4400000000001664
58 0.005 0.43000000000019417
59 0.005 0.4200000000002219
60 0.005 0.41000000000024966
61 0.005 0.4000000000002774
62 0.005 0.39000000000030516
63 0.005 0.38000000000033285
64 0.005 0.3700000000003606
65 0.005 0.36000000000038834
66 0.005 0.3500000000004161
67 0.005 0.34000000000044384
68 0.005 0.3300000000004716
69 0.005 0.32000000000049933
70 0.005 0.3100000000005271
71 0.005 0.3000000000005548
72 0.005 0.2900000000005825
73 0.005 0.2800000000006103
74 0.005 0.27000000000063806
75 0.005 0.26000000000066575
76 0.005 0.2500000000006935
77 0.005 0.24000000000072125
78 0.005 0.230000000000749
79 0.005 0.22000000000077674
80 0.005 0.21000000000080443
81 0.005 0.20000000000083223
82 0.005 0.19000000000085998
83 0.005 0.18000000000088767
84 0.005 0.17000000000091542
85 0.005 0.1600000000009431
86 0.005 0.1500000000009709
87 0.005 0.1400000000009986
88 0.005 0.13000000000102635
89 0.005 0.1200000000010541
90 0.005 0.11000000000108179
91 0.005 0.10000000000110959
92 0.005 0.09000000000113734
93 0.005 0.08000000000116503
94 0.005 0.07000000000119283
95 0.005 0.06000000000122058
96 0.005 0.05000000000124827
97 0.005 0.04000000000127607
98 0.005 0.03000000000130376
99 0.005 0.020000000001331508
100 0.005 0.010000000001359255
101 0.005 1.3761214390228815e-12
102 0.005 -0.009999999998640763
103 0.005 -0.01999999999866864
104 0.005 -0.029999999998696292
105 0.005 -0.039999999998724056
106 0.005 -0.04999999999875182
107 0.005 -0.059999999998779474
108 0.005 -0.06999999999880724
109 0.005 -0.079999999998835
110 0.005 -0.08999999999886266
111 0.005 -0.09999999999889042
112 0.005 -0.10999999999891819
113 0.005 -0.11999999999894595
114 0.005 -0.12999999999897371
115 0.005 -0.13999999999900137
116 0.005 -0.14999999999902913
117 0.005 -0.15999999999905679
118 0.005 -0.16999999999908466
119 0.005 -0.17999999999911243
120 0.005 -0.18999999999914008
121 0.005 -0.19999999999916784
122 0.005 -0.2099999999991955
123 0.005 -0.21999999999922337
124 0.005 -0.22999999999925114
125 0.005 -0.2399999999992788
126 0.005 -0.24999999999930655
127 0.005 -0.2599999999993342
128 0.005 -0.269999999999362
129 0.005 -0.27999999999938974
130 0.005 -0.2899999999994175
131 0.005 -0.29999999999944515
132 0.005 -0.3099999999994729
133 0.005 -0.3199999999995007
134 0.005 -0.32999999999952845
135 0.005 -0.3399999999995562
136 0.005 -0.34999999999958387
137 0.005 -0.35999999999961163
138 0.005 -0.3699999999996393
139 0.005 -0.37999999999966705
140 0.005 -0.3899999999996949
141 0.005 -0.3999999999997226
142 0.005 -0.40999999999975034
143 0.005 -0.419999999999778
144 0.005 -0.42999999999980576
145 0.005 -0.43999999999983364
146 0.005 -0.4499999999998613
147 0.005 -0.45999999999988905
148 0.005 -0.4699999999999167
149 0.005 -0.47999999999994447
150 0.005 -0.48999999999997224
151 0.005 -0.5
152 -0.005 -0.5
153 -0.005 -0.49000000000002775
154 -0.005 -0.4800000000000555
155 -0.005 -0.47000000000008324
156 -0.005 -0.46000000000011093
157 -0.005 -0.4500000000001387
158 -0.005 -0.4400000000001664
159 -0.005 -0.43000000000019417
160 -0.005 -0.4200000000002219
161 -0.005 -0.41000000000024966
162 -0.005 -0.4000000000002774
163 -0.005 -0.39000000000030516
164 -0.005 -0.38000000000033285
165 -0.005 -0.3700000000003606
166 -0.005 -0.36000000000038834
167 -0.005 -0.3500000000004161
168 -0.005 -0.34000000000044384
169 -0.005 -0.3300000000004716
170 -0.005 -0.32000000000049933
171 -0.005 -0.3100000000005271
172 -0.005 -0.3000000000005548
173 -0.005 -0.2900000000005825
174 -0.005 -0.2800000000006103
175 -0.005 -0.27000000000063806
176 -0.005 -0.26000000000066575
177 -0.005 -0.2500000000006935
178 -0.005 -0.24000000000072125
179 -0.005 -0.230000000000749
180 -0.005 -0.22000000000077674
181 -0.005 -0.21000000000080443
182 -0.005 -0.20000000000083223
183 -0.005 -0.19000000000085998
184 -0.005 -0.18000000000088767
185 -0.005 -0.17000000000091542
186 -0.005 -0.1600000000009431
187 -0.005 -0.1500000000009709
188 -0.005 -0.1400000000009986
189 -0.005 -0.13000000000102635
190 -0.005 -0.1200000000010541
191 -0.005 -0.11000000000108179
192 -0.005 -0.10000000000110959
193 -0.005 -0.09000000000113734
194 -0.005 -0.08000000000116503
195 -0.005 -0.07000000000119283
196 -0.005 -0.06000000000122058
197 -0.005 -0.05000000000124827
198 -0.005 -0.04000000000127607
199 -0.005 -0.03000000000130376
200 -0.005 -0.020000000001331508
201 -0.005 -0.010000000001359255
202 -0.005 -1.3761214390228815e-12

Lines

1 1 2
