# SPARTA_BEAM_MAPPING v1
# title: BEAM_FINAL_QUAD_REV4_BEAM
# sparta_boundary_nodes: 408

# SECTION NODE_PROJECTIONS
# sparta_node_id  beam_elem  xi  gap_x  gap_y  active_flag
1 20 0.1999999999 -1.0000000000e-02 0.0000000000e+00 1
2 20 0.3999999999 -1.0000000000e-02 0.0000000000e+00 1
3 20 0.5999999999 -1.0000000000e-02 -1.7347234760e-18 1
4 20 0.7999999999 -1.0000000000e-02 0.0000000000e+00 1
5 20 0.9999999999 -1.0000000000e-02 0.0000000000e+00 1
6 21 0.1999999999 -1.0000000000e-02 0.0000000000e+00 1
7 21 0.3999999999 -1.0000000000e-02 0.0000000000e+00 1
8 21 0.5999999999 -1.0000000000e-02 0.0000000000e+00 1
9 21 0.7999999999 -1.0000000000e-02 0.0000000000e+00 1
10 21 1.0000000000 -1.0000000000e-02 0.0000000000e+00 1
11 22 0.2000000000 -1.0000000000e-02 0.0000000000e+00 1
12 22 0.4000000000 -1.0000000000e-02 0.0000000000e+00 1
13 22 0.6000000000 -1.0000000000e-02 0.0000000000e+00 1
14 22 0.8000000000 -1.0000000000e-02 0.0000000000e+00 1
15 22 1.0000000000 -1.0000000000e-02 0.0000000000e+00 1
16 23 0.2000000000 -1.0000000000e-02 0.0000000000e+00 1
17 23 0.4000000000 -1.0000000000e-02 0.0000000000e+00 1
18 23 0.6000000000 -1.0000000000e-02 0.0000000000e+00 1
19 23 0.8000000000 -1.0000000000e-02 0.0000000000e+00 1
20 23 1.0000000000 -1.0000000000e-02 0.0000000000e+00 1
21 24 0.2000000000 -1.0000000000e-02 0.0000000000e+00 1
22 24 0.4000000000 -1.0000000000e-02 0.0000000000e+00 1
23 24 0.6000000000 -1.0000000000e-02 0.0000000000e+00 1
24 24 0.8000000000 -1.0000000000e-02 0.0000000000e+00 1
25 24 1.0000000000 -1.0000000000e-02 0.0000000000e+00 1
26 25 0.2000000000 -1.0000000000e-02 0.0000000000e+00 1
27 25 0.4000000000 -1.0000000000e-02 0.0000000000e+00 1
28 25 0.6000000000 -1.0000000000e-02 0.0000000000e+00 1
29 25 0.8000000000 -1.0000000000e-02 0.0000000000e+00 1
30 25 1.0000000000 -1.0000000000e-02 0.0000000000e+00 1
31 26 0.2000000000 -1.0000000000e-02 0.0000000000e+00 1
32 26 0.4000000000 -1.0000000000e-02 0.0000000000e+00 1
33 26 0.6000000000 -1.0000000000e-02 0.0000000000e+00 1
34 26 0.8000000000 -1.0000000000e-02 0.0000000000e+00 1
35 26 1.0000000000 -1.0000000000e-02 0.0000000000e+00 1
36 27 0.2000000000 -1.0000000000e-02 0.0000000000e+00 1
37 27 0.4000000000 -1.0000000000e-02 0.0000000000e+00 1
38 27 0.6000000000 -1.0000000000e-02 0.0000000000e+00 1
39 27 0.8000000000 -1.0000000000e-02 0.0000000000e+00 1
40 27 1.0000000000 -1.0000000000e-02 0.0000000000e+00 1
41 28 0.2000000000 -1.0000000000e-02 0.0000000000e+00 1
42 28 0.4000000000 -1.0000000000e-02 0.0000000000e+00 1
43 28 0.6000000000 -1.0000000000e-02 0.0000000000e+00 1
44 28 0.8000000000 -1.0000000000e-02 0.0000000000e+00 1
45 28 1.0000000000 -1.0000000000e-02 0.0000000000e+00 1
46 29 0.2000000000 -1.0000000000e-02 0.0000000000e+00 1
47 29 0.4000000000 -1.0000000000e-02 0.0000000000e+00 1
48 29 0.6000000000 -1.0000000000e-02 0.0000000000e+00 1
49 29 0.8000000000 -1.0000000000e-02 0.0000000000e+00 1
50 29 1.0000000000 -1.0000000000e-02 0.0000000000e+00 1
51 30 0.2000000000 -1.0000000000e-02 0.0000000000e+00 1
52 30 0.4000000000 -1.0000000000e-02 0.0000000000e+00 1
53 30 0.6000000000 -1.0000000000e-02 0.0000000000e+00 1
54 30 0.8000000000 -1.0000000000e-02 0.0000000000e+00 1
55 30 1.0000000000 -1.0000000000e-02 0.0000000000e+00 1
56 31 0.2000000000 -1.0000000000e-02 0.0000000000e+00 1
57 31 0.4000000000 -1.0000000000e-02 0.0000000000e+00 1
58 31 0.6000000000 -1.0000000000e-02 0.0000000000e+00 1
59 31 0.8000000000 -1.0000000000e-02 0.0000000000e+00 1
60 31 1.0000000000 -1.0000000000e-02 0.0000000000e+00 1
61 32 0.2000000000 -1.0000000000e-02 0.0000000000e+00 1
62 32 0.4000000000 -1.0000000000e-02 0.0000000000e+00 1
63 32 0.6000000000 -1.0000000000e-02 0.0000000000e+00 1
64 32 0.8000000000 -1.0000000000e-02 0.0000000000e+00 1
65 32 1.0000000000 -1.0000000000e-02 0.0000000000e+00 1
66 33 0.2000000000 -1.0000000000e-02 0.0000000000e+00 1
67 33 0.4000000000 -1.0000000000e-02 0.0000000000e+00 1
68 33 0.6000000000 -1.0000000000e-02 0.0000000000e+00 1
69 33 0.8000000000 -1.0000000000e-02 0.0000000000e+00 1
70 33 1.0000000000 -1.0000000000e-02 0.0000000000e+00 1
71 34 0.2000000000 -1.0000000000e-02 0.0000000000e+00 1
72 34 0.4000000000 -1.0000000000e-02 0.0000000000e+00 1
73 34 0.6000000000 -1.0000000000e-02 0.0000000000e+00 1
74 34 0.8000000000 -1.0000000000e-02 0.0000000000e+00 1
75 34 1.0000000000 -1.0000000000e-02 0.0000000000e+00 1
76 35 0.2000000000 -1.0000000000e-02 0.0000000000e+00 1
77 35 0.4000000000 -1.0000000000e-02 0.0000000000e+00 1
78 35 0.6000000000 -1.0000000000e-02 0.0000000000e+00 1
79 35 0.8000000000 -1.0000000000e-02 0.0000000000e+00 1
80 35 1.0000000000 -1.0000000000e-02 0.0000000000e+00 1
81 36 0.2000000000 -1.0000000000e-02 0.0000000000e+00 1
82 36 0.4000000000 -1.0000000000e-02 0.0000000000e+00 1
83 36 0.6000000000 -1.0000000000e-02 0.0000000000e+00 1
84 36 0.8000000000 -1.0000000000e-02 0.0000000000e+00 1
85 36 1.0000000000 -1.0000000000e-02 0.0000000000e+00 1
86 37 0.2000000000 -1.0000000000e-02 0.0000000000e+00 1
87 37 0.4000000000 -1.0000000000e-02 0.0000000000e+00 1
88 37 0.6000000000 -1.0000000000e-02 0.0000000000e+00 1
89 37 0.8000000000 -1.0000000000e-02 0.0000000000e+00 1
90 37 1.0000000000 -1.0000000000e-02 0.0000000000e+00 1
91 38 0.2000000000 -1.0000000000e-02 0.0000000000e+00 1
92 38 0.4000000000 -1.0000000000e-02 0.0000000000e+00 1
93 38 0.6000000000 -1.0000000000e-02 0.0000000000e+00 1
94 38 0.8000000000 -1.0000000000e-02 0.0000000000e+00 1
95 38 1.0000000000 -1.0000000000e-02 0.0000000000e+00 1
96 39 0.2000000000 -1.0000000000e-02 0.0000000000e+00 1
97 39 0.4000000000 -1.0000000000e-02 0.0000000000e+00 1
98 39 0.6000000000 -1.0000000000e-02 0.0000000000e+00 1
99 39 0.8000000000 -1.0000000000e-02 0.0000000000e+00 1
100 39 1.0000000000 -1.0000000000e-02 0.0000000000e+00 1
101 39 1.0000000000 -5.0000000000e-03 0.0000000000e+00 1
102 39 1.0000000000 -2.5418903093e-14 0.0000000000e+00 1
103 39 1.0000000000 5.0000000000e-03 0.0000000000e+00 1
104 39 1.0000000000 1.0000000000e-02 0.0000000000e+00 1
105 39 0.8000000000 1.0000000000e-02 0.0000000000e+00 1
106 39 0.6000000000 1.0000000000e-02 0.0000000000e+00 1
107 39 0.4000000000 1.0000000000e-02 0.0000000000e+00 1
108 39 0.2000000000 1.0000000000e-02 0.0000000000e+00 1
109 38 1.0000000000 1.0000000000e-02 6.9388939039e-14 1
110 38 0.8000000000 1.0000000000e-02 0.0000000000e+00 1
