Refined Surface (Ordered)

64 points
64 lines

Points

1 -0.49759236335065593 0.049008570016975464
2 -0.49039264026169593 0.09754516070601794
3 -0.4784701680047751 0.14514233817009534
4 -0.4619397665009904 0.19134171559022486
5 -0.4409606325370995 0.23569836773401953
6 -0.4157348066494086 0.27778511576428794
7 -0.38650522734611487 0.31719664127182695
8 -0.353553391405605 0.35355338978094253
9 -0.3171966428644575 0.3865052260390768
10 -0.2777851172018466 0.4157348056888626
11 -0.23569836900961486 0.4409606318552796
12 -0.1913417166931099 0.4619397660441604
13 -0.14514233900053497 0.478470167752864
14 -0.09754516125309727 0.4903926401528751
15 -0.0490085702719845 0.49759236332553974
16 0.0 0.5
17 0.049008570016975464 0.49759236335065593
18 0.09754516070601794 0.49039264026169593
19 0.14514233817009534 0.4784701680047751
20 0.19134171559022486 0.4619397665009904
21 0.23569836773401953 0.4409606325370995
22 0.27778511576428794 0.4157348066494086
23 0.31719664127182695 0.38650522734611487
24 0.35355338978094253 0.353553391405605
25 0.3865052260390768 0.3171966428644575
26 0.4157348056888626 0.2777851172018466
27 0.4409606318552796 0.23569836900961486
28 0.4619397660441604 0.1913417166931099
29 0.478470167752864 0.14514233900053497
30 0.4903926401528751 0.09754516125309727
31 0.49759236332553974 0.0490085702719845
32 0.5 0.0
33 0.49759236335065593 -0.049008570016975464
34 0.49039264026169593 -0.09754516070601794
35 0.4784701680047751 -0.14514233817009534
36 0.4619397665009904 -0.19134171559022486
37 0.4409606325370995 -0.23569836773401953
38 0.4157348066494086 -0.27778511576428794
39 0.38650522734611487 -0.31719664127182695
40 0.353553391405605 -0.35355338978094253
41 0.3171966428644575 -0.3865052260390768
42 0.2777851172018466 -0.4157348056888626
43 0.23569836900961486 -0.4409606318552796
44 0.1913417166931099 -0.4619397660441604
45 0.14514233900053497 -0.478470167752864
46 0.09754516125309727 -0.4903926401528751
47 0.0490085702719845 -0.49759236332553974
48 0.0 -0.5
49 -0.049008570016975464 -0.49759236335065593
50 -0.09754516070601794 -0.49039264026169593
51 -0.14514233817009534 -0.4784701680047751
52 -0.19134171559022486 -0.4619397665009904
53 -0.23569836773401953 -0.4409606325370995
54 -0.27778511576428794 -0.4157348066494086
55 -0.31719664127182695 -0.38650522734611487
56 -0.35355338978094253 -0.353553391405605
57 -0.3865052260390768 -0.3171966428644575
58 -0.4157348056888626 -0.2777851172018466
59 -0.4409606318552796 -0.23569836900961486
60 -0.4619397660441604 -0.1913417166931099
61 -0.478470167752864 -0.14514233900053497
62 -0.4903926401528751 -0.09754516125309727
63 -0.49759236332553974 -0.0490085702719845
64 -0.5 0.0

Lines

1 1 2
2 2 3
3 3 4
4 4 5
5 5 6
6 6 7
7 7 8
8 8 9
9 9 10
10 10 11
11 11 12
12 12 13
13 13 14
14 14 15
15 15 16
16 16 17
17 17 18
18 18 19
19 19 20
20 20 21
21 21 22
22 22 23
23 23 24
24 24 25
25 25 26
26 26 27
27 27 28
28 28 29
29 29 30
30 30 31
31 31 32
32 32 33
33 33 34
34 34 35
35 35 36
36 36 37
37 37 38
38 38 39
39 39 40
40 40 41
41 41 42
42 42 43
43 43 44
44 44 45
45 45 46
46 46 47
47 47 48
48 48 49
49 49 50
50 50 51
51 51 52
52 52 53
53 53 54
54 54 55
55 55 56
56 56 57
57 57 58
58 58 59
59 59 60
60 60 61
61 61 62
62 62 63
63 63 64
64 64 1
