Refined Surface (Ordered)

22 points
22 lines

Points

1 -0.005 0.09999999999889042
2 -0.005 0.19999999999916773
3 -0.005 0.29999999999944515
4 -0.005 0.3999999999997227
5 -0.005 0.5
6 0.005 0.5
7 0.005 0.4000000000002774
8 0.005 0.3000000000005548
9 0.005 0.20000000000083218
10 0.005 0.10000000000110959
11 0.005 1.3761214390228815e-12
12 0.005 -0.09999999999889042
13 0.005 -0.19999999999916773
14 0.005 -0.29999999999944515
15 0.005 -0.3999999999997227
16 0.005 -0.5
17 -0.005 -0.5
18 -0.005 -0.4000000000002774
19 -0.005 -0.3000000000005548
20 -0.005 -0.20000000000083218
21 -0.005 -0.10000000000110959
22 -0.005 -1.3761214390228815e-12

Lines

1 1 2
2 2 3
3 3 4
4 4 5
5 5 6
6 6 7
7 7 8
8 8 9
9 9 10
10 10 11
11 11 12
12 12 13
13 13 14
14 14 15
15 15 16
16 16 17
17 17 18
18 18 19
19 19 20
20 20 21
21 21 22
22 22 1
